app_id,permission,level
com.nof.makanoh.openkeypos,android.permission.READ_PHONE_STATE,dangerous
com.nof.makanoh.openkeypos,android.permission.INTERNET,normal
com.nof.makanoh.openkeypos,android.permission.ACCESS_NETWORK_STATE,normal
com.nof.makanoh.openkeypos,android.permission.WAKE_LOCK,normal
com.forgerock.authenticator,android.permission.CAMERA,dangerous
com.forgerock.authenticator,android.permission.INTERNET,normal
com.forgerock.authenticator,android.permission.WRITE_EXTERNAL_STORAGE,dangerous
com.forgerock.authenticator,android.permission.ACCESS_NETWORK_STATE,normal
com.forgerock.authenticator,android.permission.WAKE_LOCK,normal
com.forgerock.authenticator,com.google.android.c2dm.permission.RECEIVE,customized
com.forgerock.authenticator,com.google.android.c2dm.permission.SEND,customized
com.authy.authy,android.permission.ACCESS_WIFI_STATE,normal
com.authy.authy,android.permission.CAMERA,dangerous
com.authy.authy,android.permission.INTERNET,normal
com.authy.authy,android.permission.ACCESS_NETWORK_STATE,normal
com.authy.authy,android.permission.USE_FINGERPRINT,normal
com.authy.authy,android.permission.VIBRATE,normal
com.authy.authy,android.permission.WAKE_LOCK,normal
com.authy.authy,android.permission.FOREGROUND_SERVICE,normal
com.authy.authy,com.google.android.c2dm.permission.RECEIVE,customized
com.authy.authy,android.permission.BIND_JOB_SERVICE,signature
com.authy.authy,android.permission.BIND_REMOTEVIEWS,signature
com.authy.authy,com.google.android.gms.auth.api.signin.permission.REVOCATION_NOTIFICATION,customized
com.authy.authy,com.google.android.c2dm.permission.SEND,customized
vn.unlimit.magicauth,android.permission.INTERNET,normal
vn.unlimit.magicauth,android.permission.SYSTEM_ALERT_WINDOW,signature
vn.unlimit.magicauth,android.permission.CAMERA,dangerous
vn.unlimit.magicauth,com.android.vending.BILLING,customized
vn.unlimit.magicauth,android.permission.READ_EXTERNAL_STORAGE,dangerous
vn.unlimit.magicauth,android.permission.WRITE_EXTERNAL_STORAGE,dangerous
vn.unlimit.magicauth,android.permission.USE_FINGERPRINT,normal
vn.unlimit.magicauth,android.permission.ACCESS_NETWORK_STATE,normal
vn.unlimit.magicauth,android.permission.WAKE_LOCK,normal
vn.unlimit.magicauth,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,customized
vn.unlimit.magicauth,com.google.android.c2dm.permission.RECEIVE,customized
