app_id,N/A,customized,dangerous,normal,signature
ar.gob.afip.mobile.android.internal.seginfo,,,1.0,1.0,
at.tugraz.iaik.signapp,,3.0,1.0,3.0,1.0
br.com.powersoftware.otpsafe,,1.0,3.0,1.0,
br.com.voegol.tokenagenciasgol,,17.0,5.0,6.0,3.0
br.gov.caixa.codigocaixa,,,4.0,2.0,
club.nagavip.otp,,18.0,2.0,5.0,4.0
com.ADIBSDIGIPASS,,1.0,2.0,4.0,
com.BANKABC,,2.0,2.0,3.0,
com.BankMisrSoftToken,,1.0,2.0,3.0,
com.CIBEgyptSecureToken,,2.0,1.0,2.0,1.0
com.FAISATOKEN,,1.0,2.0,3.0,
com.GlowOTP,,1.0,3.0,4.0,
com.LuxTrustMobile,1.0,5.0,5.0,11.0,2.0
com.aff.otpdirekt,1.0,8.0,7.0,7.0,1.0
com.aircuve.aircuvemobile,,3.0,3.0,4.0,1.0
com.aircuve.airotp,1.0,1.0,4.0,5.0,
com.aircuve.motpkey_miraeasset,,,2.0,5.0,
com.andxor.mobile.jsotp.piteco,,1.0,1.0,2.0,
com.arcot.otp1,1.0,2.0,3.0,5.0,
com.atsolution.android.bcotp,,,,1.0,
com.atsolution.android.uotp2,,,1.0,2.0,1.0
com.authenticator.authservice2,,7.0,3.0,7.0,2.0
com.authy.authy,,3.0,1.0,7.0,2.0
com.azure.authenticator,,16.0,6.0,10.0,5.0
com.bankofamerica.authenticator,,4.0,2.0,5.0,1.0
com.beemdevelopment.aegis,,,1.0,2.0,
com.bitrixsoft.otp,,1.0,1.0,1.0,
com.bncr.detectid_otp,1.0,18.0,3.0,7.0,4.0
com.ca.sec.aa.authenticator,1.0,6.0,5.0,6.0,1.0
com.canopus.otpmacgenerator,,,1.0,,
com.canopus.otpmacgenerator.finductive,,,1.0,1.0,
com.cbcapp.otp.activity,2.0,1.0,2.0,5.0,
com.changingtec.motp.pro,,4.0,1.0,5.0,2.0
com.cibcorptoken,,2.0,2.0,4.0,1.0
com.deepnet.andmob5,,4.0,3.0,5.0,1.0
com.dreammirae.anyauth.android,,5.0,2.0,8.0,1.0
com.dreammirae.otp.android.mirae,1.0,,2.0,3.0,
com.dreammirae.otp.android.mirae.multiid.market,1.0,5.0,3.0,8.0,1.0
com.dxc.ipwr,,,1.0,1.0,
com.egypt.ais.aismotp,,2.0,7.0,4.0,
com.egypt.ais.masriacard.mcmotp,,2.0,5.0,4.0,
com.entrust.identityGuard.mobile,,6.0,3.0,7.0,2.0
com.eset.esa,,4.0,1.0,5.0,
com.ezmcom.cimb.softtoken.ezidv4,,,1.0,3.0,
com.feelanet.artstrongid.sec,,3.0,2.0,6.0,1.0
com.forgerock.authenticator,,2.0,2.0,3.0,
com.ftsafe.otp.activity,2.0,6.0,4.0,9.0,3.0
com.gemalto.idprove,,1.0,2.0,3.0,
com.goldtime.authy,,,3.0,1.0,
com.google.android.apps.authenticator2,,4.0,1.0,8.0,
com.gstotpauthenticator,,4.0,1.0,3.0,1.0
com.halcom.ng.mobile.puppaltr,1.0,2.0,6.0,4.0,
com.hpe.icewall.smartotp,,,,2.0,
com.ideasventure.otptoken,,,,1.0,
com.inwebo.authenticator,,3.0,5.0,6.0,
com.isprint.SWIFTToken,1.0,1.0,2.0,5.0,
com.jeptoken,,,2.0,5.0,
com.khla.otpapp.callhttpclient,,,1.0,3.0,
com.kienlongbank.etoken,1.0,4.0,5.0,7.0,2.0
com.kiwoom.unitycert,,,1.0,7.0,1.0
com.kmcert.myotp,1.0,3.0,3.0,10.0,1.0
com.lenovo.otp,,,1.0,3.0,1.0
com.lpb.softotp,,3.0,2.0,6.0,1.0
com.mastersam.android.mastersamotp,,,1.0,,
com.mdmobiasbancadigipass,,2.0,2.0,3.0,1.0
com.mds.canarabankapp,,,4.0,3.0,
com.mobilians.motp,2.0,3.0,6.0,4.0,2.0
com.mollatech.android.apps.authenticators,,,1.0,3.0,
com.mts.opt2,,1.0,,2.0,
com.namirial.android.virtualotp,,4.0,1.0,5.0,1.0
com.ncb.bank.otp,,,1.0,5.0,
com.ncs.secureconnect.otp,,,2.0,1.0,
com.net2recharge.otp,,,1.0,2.0,
com.netfiles.netfilesotp,,,,1.0,
com.nhn.hangameotp,,6.0,1.0,7.0,1.0
com.nof.makanoh.openkeypos,,,1.0,3.0,
com.novoload.otp,,,1.0,2.0,
com.ocb.iotp,,3.0,4.0,6.0,1.0
com.pacifico.pacificid,,20.0,7.0,6.0,4.0
com.pentasecurity.isignplus.mobileotp,,1.0,,2.0,
com.portwise.mid.clients.android,,,1.0,2.0,
com.pozitron.qib,1.0,4.0,9.0,8.0,2.0
com.protectimus.android,,1.0,1.0,4.0,
com.protectimus.totpburner.nfc,,4.0,2.0,5.0,
com.pvcombank.smartotp,,1.0,4.0,4.0,
com.qrail.token,,6.0,7.0,6.0,
com.rcdevs.auth,,19.0,5.0,10.0,3.0
com.sbi.SBIFreedomPlus,1.0,3.0,4.0,4.0,
com.sbi.SBISecure,,,1.0,2.0,
com.scrignosa,,3.0,2.0,7.0,1.0
com.sgn.secureguardotp,1.0,,3.0,6.0,
com.sgn.sgotp,,1.0,3.0,5.0,
com.sgn.sgotp.lotte,,,3.0,4.0,
com.sitin.sitinotp,,,1.0,,
com.sophos.sophtoken,,1.0,1.0,1.0,
com.square_enix_software_token,,,1.0,2.0,
com.stove.otp.google.android,,6.0,3.0,6.0,1.0
com.systemat.SeeZam_OTP,,1.0,,4.0,1.0
com.techcombank.stk.corp,,3.0,3.0,6.0,1.0
com.trumotp.club,1.0,,1.0,5.0,
com.u2fa.secur,,,1.0,,
com.viafirma.otp,,,,1.0,
com.vietinbank.softotp,,3.0,2.0,6.0,1.0
com.vivokey.vivoauth,,,1.0,1.0,
com.vn.vib.smeotp,,3.0,3.0,4.0,1.0
com.vpbank.vpbanksmartotp,,3.0,3.0,6.0,1.0
com.vtc.main.otpapp,,,2.0,3.0,
com.yubico.yubioath,,,1.0,1.0,
com.zenithbank.zenithetoken,,,1.0,3.0,
com18deglab.cylocklite,,5.0,4.0,3.0,
cy.com.netinfo.crdbotp,,2.0,,3.0,
cy.nbg.nbgcyotp,,3.0,2.0,6.0,1.0
de.otp.main,,,2.0,7.0,
de.sbeh.rdp_otp,,,1.0,,
dev.cat.coffee.authenticator,,1.0,4.0,5.0,1.0
eu.netinfo.bcb.otp,,1.0,4.0,2.0,
eu.netinfo.cdb.otp,,,1.0,1.0,
eu.netinfo.netteller.cqur.motp,,3.0,1.0,5.0,1.0
eu.sia.siaotp,,,1.0,2.0,
hr.asseco.android.intesa.isbd.alex,,7.0,9.0,8.0,2.0
hr.asseco.android.jimba.otpretailng,,6.0,6.0,6.0,1.0
hr.asseco.android.mtoken.ht.test,1.0,,1.0,1.0,
hr.asseco.android.otp,1.0,6.0,2.0,3.0,
iSec.Authenticator,,2.0,2.0,5.0,
io.faceotp.faceotp,,19.0,4.0,3.0,3.0
it.aruba.pec.mobile.otp,,1.0,2.0,5.0,1.0
it.aruba.pec.mobile.otpfvg,,1.0,2.0,5.0,1.0
it.company.sielte,,4.0,4.0,5.0,
it.netknights.piauthenticator,,2.0,1.0,3.0,1.0
it.previnet.authenticator,,1.0,2.0,3.0,1.0
it.uiv.uivotp,,,,1.0,
jp.co.nttdata.onetimepassworda,,2.0,1.0,7.0,
jp.konami.android.otp_token,,1.0,,1.0,
