app_id,fld
hr.asseco.android.jimba.otpretailng,otpbanka.hr
hr.asseco.android.mtoken.ht.test,ht.hr
com.bankofamerica.authenticator,bankofamerica.com
com.novoload.otp,google.com
com.sgn.sgotp,google.com
club.nagavip.otp,google.com
ru.yandex.key,yandex.ru
otl.snkl.SnorkelOTP,southindianbank.com
cy.com.netinfo.crdbotp,crdbbank.co.tz
com.aff.otpdirekt,otpbank.hu
com.aff.otpdirekt,google.com
com.protectimus.totpburner.nfc,google.com
com.protectimus.totpburner.nfc,protectimus.com
com.sgn.sgotp.lotte,google.com
vn.com.sacombank.msign,google.com
br.gov.caixa.codigocaixa,caixa.gov.br
br.gov.caixa.codigocaixa,google.com
nh.smart.signone,nonghyup.com
com.dxc.ipwr,dxc.technology
com.vn.vib.smeotp,vib.com.vn
at.tugraz.iaik.signapp,transsped.ro
com.protectimus.android,protectimus.com
com.kmcert.myotp,myotp.co.kr
com.gstotpauthenticator,google.com
de.otp.main,telesec.de
ua.com.cs.ifobs.mobile.android.otp,otpsmart.com.ua
com.netfiles.netfilesotp,netfiles.de
eu.netinfo.bcb.otp,bcb.bm
com.stove.otp.google.android,onstove.com
com18deglab.cylocklite,google.com
com.mdmobiasbancadigipass,google.com
com.lenovo.otp,lenovo.com
com.azure.authenticator,microsoft.com
vietcombank.itcenter.vcbsmartoptv10,google.com
vietcombank.itcenter.vcbsmartoptv10,vietcombank.com.vn
com.scrignosa,popso.it
kr.or.kftc.fsc,kftc.or.kr
com.egypt.ais.aismotp,google.com
com.authenticator.authservice2,binaryboot.com
