app_id,type,object,status,reference
com.nof.makanoh.openkeypos,fld,doubleclick.net,TP,easylist
com.nof.makanoh.openkeypos,fld,doubleclick.net,TP,easyprivacy
com.authy.authy,fld,crashlytics.com,FP,easylist
com.authy.authy,fld,crashlytics.com,FP,easyprivacy
com.authy.authy,fld,firebaseinstallations.googleapis.com,FP,easylist
com.authy.authy,fld,firebaseinstallations.googleapis.com,FP,easyprivacy
com.authy.authy,fld,kinesis.us-east-1.amazonaws.com,FP,easylist
com.authy.authy,fld,kinesis.us-east-1.amazonaws.com,FP,easyprivacy
com.dreammirae.otp.android.mirae.multiid.market,fld,crashlytics.com,FP,easylist
com.dreammirae.otp.android.mirae.multiid.market,fld,crashlytics.com,FP,easyprivacy
com.dreammirae.otp.android.mirae.multiid.market,fld,firebaseinstallations.googleapis.com,FP,easylist
com.dreammirae.otp.android.mirae.multiid.market,fld,firebaseinstallations.googleapis.com,FP,easyprivacy
com.dreammirae.otp.android.mirae.multiid.market,fld,firebaseremoteconfig.googleapis.com,FP,easylist
com.dreammirae.otp.android.mirae.multiid.market,fld,firebaseremoteconfig.googleapis.com,FP,easyprivacy
com.dreammirae.otp.android.mirae.multiid.market,fld,dreammirae.com,FP,easylist
com.dreammirae.otp.android.mirae.multiid.market,fld,dreammirae.com,FP,easyprivacy
hr.asseco.android.jimba.otpretailng,fld,otpbanka.hr,FP,easylist
hr.asseco.android.jimba.otpretailng,fld,otpbanka.hr,FP,easyprivacy
com.inwebo.authenticator,fld,myinwebo.com,FP,easylist
com.inwebo.authenticator,fld,myinwebo.com,FP,easyprivacy
netinfo.eu.symantec,fld,mobilecrashreporting.googleapis.com,FP,easylist
netinfo.eu.symantec,fld,mobilecrashreporting.googleapis.com,FP,easyprivacy
hr.asseco.android.mtoken.ht.test,fld,ht.hr,FP,easylist
hr.asseco.android.mtoken.ht.test,fld,ht.hr,FP,easyprivacy
com.feelanet.artstrongid.sec,fld,secsso.net,FP,easylist
com.feelanet.artstrongid.sec,fld,secsso.net,FP,easyprivacy
com.bankofamerica.authenticator,fld,bankofamerica.com,TP,easylist
com.bankofamerica.authenticator,fld,bankofamerica.com,TP,easyprivacy
com.novoload.otp,fld,google.com,TP,easylist
com.novoload.otp,fld,google.com,TP,easyprivacy
com.bncr.detectid_otp,fld,bnonline.fi.cr,FP,easylist
com.bncr.detectid_otp,fld,bnonline.fi.cr,FP,easyprivacy
it.previnet.authenticator,fld,crashlytics.com,FP,easylist
it.previnet.authenticator,fld,crashlytics.com,FP,easyprivacy
it.previnet.authenticator,fld,firebaseinstallations.googleapis.com,FP,easylist
it.previnet.authenticator,fld,firebaseinstallations.googleapis.com,FP,easyprivacy
com.sgn.sgotp,fld,google.com,TP,easylist
com.sgn.sgotp,fld,google.com,TP,easyprivacy
kr.co.neople.neopleotp,fld,mobilians.co.kr,FP,easylist
kr.co.neople.neopleotp,fld,mobilians.co.kr,FP,easyprivacy
eu.netinfo.netteller.cqur.motp,fld,mobilecrashreporting.googleapis.com,FP,easylist
eu.netinfo.netteller.cqur.motp,fld,mobilecrashreporting.googleapis.com,FP,easyprivacy
club.nagavip.otp,fld,onesignal.com,FP,easylist
club.nagavip.otp,fld,onesignal.com,TP,easyprivacy
club.nagavip.otp,fld,appcenter.ms,FP,easylist
club.nagavip.otp,fld,appcenter.ms,FP,easyprivacy
club.nagavip.otp,fld,google.com,TP,easylist
club.nagavip.otp,fld,google.com,TP,easyprivacy
com.halcom.ng.mobile.puppaltr,fld,otpbank.al,FP,easylist
com.halcom.ng.mobile.puppaltr,fld,otpbank.al,FP,easyprivacy
ru.yandex.key,fld,yandex.ru,TP,easylist
ru.yandex.key,fld,yandex.ru,TP,easyprivacy
ru.yandex.key,fld,yandex.net,FP,easylist
ru.yandex.key,fld,yandex.net,TP,easyprivacy
otl.snkl.SnorkelOTP,fld,southindianbank.com,FP,easylist
otl.snkl.SnorkelOTP,fld,southindianbank.com,FP,easyprivacy
cy.com.netinfo.crdbotp,fld,crdbbank.co.tz,FP,easylist
cy.com.netinfo.crdbotp,fld,crdbbank.co.tz,FP,easyprivacy
hr.asseco.android.otp,fld,asseco-see.hr,FP,easylist
hr.asseco.android.otp,fld,asseco-see.hr,FP,easyprivacy
com.aff.otpdirekt,fld,facebook.com,TP,easylist
com.aff.otpdirekt,fld,facebook.com,TP,easyprivacy
com.aff.otpdirekt,fld,otpbankdirekt.hu,FP,easylist
com.aff.otpdirekt,fld,otpbankdirekt.hu,FP,easyprivacy
com.aff.otpdirekt,fld,otpbank.hu,FP,easylist
com.aff.otpdirekt,fld,otpbank.hu,FP,easyprivacy
com.aff.otpdirekt,fld,google.com,TP,easylist
com.aff.otpdirekt,fld,google.com,TP,easyprivacy
com.aff.otpdirekt,fld,gstatic.com,TP,easylist
com.aff.otpdirekt,fld,gstatic.com,TP,easyprivacy
com.aff.otpdirekt,fld,seon.io,FP,easylist
com.aff.otpdirekt,fld,seon.io,TP,easyprivacy
com.aff.otpdirekt,fld,icanhazip.com,FP,easylist
com.aff.otpdirekt,fld,icanhazip.com,FP,easyprivacy
com.protectimus.totpburner.nfc,fld,offlinepages-pa.googleapis.com,FP,easylist
com.protectimus.totpburner.nfc,fld,offlinepages-pa.googleapis.com,FP,easyprivacy
com.protectimus.totpburner.nfc,fld,google.com,TP,easylist
com.protectimus.totpburner.nfc,fld,google.com,TP,easyprivacy
com.protectimus.totpburner.nfc,fld,clientservices.googleapis.com,FP,easylist
com.protectimus.totpburner.nfc,fld,clientservices.googleapis.com,FP,easyprivacy
com.protectimus.totpburner.nfc,fld,protectimus.com,FP,easylist
com.protectimus.totpburner.nfc,fld,protectimus.com,FP,easyprivacy
com.protectimus.totpburner.nfc,fld,bootstrapcdn.com,TP,easylist
com.protectimus.totpburner.nfc,fld,bootstrapcdn.com,FP,easyprivacy
com.protectimus.totpburner.nfc,fld,googletagmanager.com,TP,easylist
com.protectimus.totpburner.nfc,fld,googletagmanager.com,TP,easyprivacy
com.protectimus.totpburner.nfc,fld,fonts.googleapis.com,TP,easylist
