app_id,fld
com.nof.makanoh.openkeypos,doubleclick.net
com.authy.authy,crashlytics.com
com.authy.authy,firebaseinstallations.googleapis.com
com.authy.authy,kinesis.us-east-1.amazonaws.com
com.dreammirae.otp.android.mirae.multiid.market,crashlytics.com
com.dreammirae.otp.android.mirae.multiid.market,firebaseinstallations.googleapis.com
com.dreammirae.otp.android.mirae.multiid.market,firebaseremoteconfig.googleapis.com
com.dreammirae.otp.android.mirae.multiid.market,dreammirae.com
com.inwebo.authenticator,myinwebo.com
netinfo.eu.symantec,mobilecrashreporting.googleapis.com
com.feelanet.artstrongid.sec,secsso.net
com.bncr.detectid_otp,bnonline.fi.cr
it.previnet.authenticator,crashlytics.com
it.previnet.authenticator,firebaseinstallations.googleapis.com
kr.co.neople.neopleotp,mobilians.co.kr
eu.netinfo.netteller.cqur.motp,mobilecrashreporting.googleapis.com
club.nagavip.otp,onesignal.com
club.nagavip.otp,appcenter.ms
com.halcom.ng.mobile.puppaltr,otpbank.al
ru.yandex.key,yandex.net
hr.asseco.android.otp,asseco-see.hr
com.aff.otpdirekt,facebook.com
com.aff.otpdirekt,otpbankdirekt.hu
com.aff.otpdirekt,gstatic.com
com.aff.otpdirekt,seon.io
com.aff.otpdirekt,icanhazip.com
com.protectimus.totpburner.nfc,offlinepages-pa.googleapis.com
com.protectimus.totpburner.nfc,clientservices.googleapis.com
com.protectimus.totpburner.nfc,bootstrapcdn.com
com.protectimus.totpburner.nfc,googletagmanager.com
com.protectimus.totpburner.nfc,fonts.googleapis.com
com.protectimus.totpburner.nfc,update.googleapis.com
com.protectimus.totpburner.nfc,google-analytics.com
com.protectimus.totpburner.nfc,youtube.com
com.protectimus.totpburner.nfc,googlevideo.com
com.protectimus.totpburner.nfc,doubleclick.net
oracle.idm.mobile.authenticator,gstatic.com
com.dreammirae.anyauth.android,crashlytics.com
com.dreammirae.anyauth.android,firebaseinstallations.googleapis.com
com.dreammirae.anyauth.android,firebaseremoteconfig.googleapis.com
com.dreammirae.anyauth.android,dreammirae.com
dev.cat.coffee.authenticator,doubleclick.net
vn.com.sacombank.msign,msacombank.com.vn
vn.com.sacombank.msign,isacombank.com.vn
com.techcombank.stk.corp,gstatic.com
com.trumotp.club,sdkbox.com
com.trumotp.club,facebook.com
wibmo.com.wibmoAuthApp,gstatic.com
br.gov.caixa.codigocaixa,gstatic.com
br.gov.caixa.codigocaixa,play.googleapis.com
br.gov.caixa.codigocaixa,ssiloc.com
br.gov.caixa.codigocaixa,offlinepages-pa.googleapis.com
br.gov.caixa.codigocaixa,people-pa.googleapis.com
com.vn.vib.smeotp,firebaseinstallations.googleapis.com
com.vn.vib.smeotp,crashlytics.com
com.ftsafe.otp.activity,xiaomi.com
kr.kjun.NaverSetup,doubleclick.net
iSec.Authenticator,appcenter.ms
com.systemat.SeeZam_OTP,firebaseinstallations.googleapis.com
com.systemat.SeeZam_OTP,crashlytics.com
com.gstotpauthenticator,firebaseinstallations.googleapis.com
com.gstotpauthenticator,chromefeedcontentsuggestions-pa.googleapis.com
com.gstotpauthenticator,offlinepages-pa.googleapis.com
vn.funtap.smartotp,platformjk.com
com.mds.canarabankapp,canarabank.in
com.stove.otp.google.android,81plug.com
com18deglab.cylocklite,mobilecrashreporting.googleapis.com
com.mdmobiasbancadigipass,offlinepages-pa.googleapis.com
com.changingtec.motp.pro,crashlytics.com
com.changingtec.motp.pro,firebaseinstallations.googleapis.com
com.pacifico.pacificid,bp.fin.ec
jp.konami.android.otp_token,konamionline.com
vn.savis.smartid,yandex.net
com.azure.authenticator,firebaseinstallations.googleapis.com
com.azure.authenticator,adjust.com
com.azure.authenticator,appcenter.ms
vietcombank.itcenter.vcbsmartoptv10,clientservices.googleapis.com
vietcombank.itcenter.vcbsmartoptv10,offlinepages-pa.googleapis.com
vietcombank.itcenter.vcbsmartoptv10,update.googleapis.com
com.scrignosa,firebaseinstallations.googleapis.com
kr.or.kftc.fsc,vguard.co.kr
com.authenticator.authservice2,crashlytics.com
com.authenticator.authservice2,firebaseinstallations.googleapis.com
