,app_id,fld
0,com.nof.makanoh.openkeypos,doubleclick.net
1,com.authy.authy,crashlytics.com
2,com.authy.authy,firebaseinstallations.googleapis.com
3,com.authy.authy,kinesis.us-east-1.amazonaws.com
4,com.dreammirae.otp.android.mirae.multiid.market,crashlytics.com
5,com.dreammirae.otp.android.mirae.multiid.market,firebaseinstallations.googleapis.com
6,com.dreammirae.otp.android.mirae.multiid.market,firebaseremoteconfig.googleapis.com
7,com.dreammirae.otp.android.mirae.multiid.market,dreammirae.com
8,hr.asseco.android.jimba.otpretailng,otpbanka.hr
9,com.inwebo.authenticator,myinwebo.com
10,netinfo.eu.symantec,mobilecrashreporting.googleapis.com
11,hr.asseco.android.mtoken.ht.test,ht.hr
12,com.feelanet.artstrongid.sec,secsso.net
13,com.bankofamerica.authenticator,bankofamerica.com
14,com.novoload.otp,google.com
15,com.bncr.detectid_otp,bnonline.fi.cr
16,it.previnet.authenticator,crashlytics.com
17,it.previnet.authenticator,firebaseinstallations.googleapis.com
18,com.sgn.sgotp,google.com
19,kr.co.neople.neopleotp,mobilians.co.kr
20,eu.netinfo.netteller.cqur.motp,mobilecrashreporting.googleapis.com
21,club.nagavip.otp,onesignal.com
22,club.nagavip.otp,appcenter.ms
23,club.nagavip.otp,google.com
24,com.halcom.ng.mobile.puppaltr,otpbank.al
25,ru.yandex.key,yandex.ru
26,ru.yandex.key,yandex.net
27,otl.snkl.SnorkelOTP,southindianbank.com
28,cy.com.netinfo.crdbotp,crdbbank.co.tz
29,hr.asseco.android.otp,asseco-see.hr
30,com.aff.otpdirekt,facebook.com
31,com.aff.otpdirekt,otpbankdirekt.hu
32,com.aff.otpdirekt,otpbank.hu
33,com.aff.otpdirekt,google.com
34,com.aff.otpdirekt,gstatic.com
35,com.aff.otpdirekt,seon.io
36,com.aff.otpdirekt,icanhazip.com
37,com.protectimus.totpburner.nfc,offlinepages-pa.googleapis.com
38,com.protectimus.totpburner.nfc,google.com
39,com.protectimus.totpburner.nfc,clientservices.googleapis.com
40,com.protectimus.totpburner.nfc,protectimus.com
41,com.protectimus.totpburner.nfc,bootstrapcdn.com
42,com.protectimus.totpburner.nfc,googletagmanager.com
43,com.protectimus.totpburner.nfc,fonts.googleapis.com
44,com.protectimus.totpburner.nfc,update.googleapis.com
45,com.protectimus.totpburner.nfc,google-analytics.com
46,com.protectimus.totpburner.nfc,youtube.com
47,com.protectimus.totpburner.nfc,googlevideo.com
48,com.protectimus.totpburner.nfc,doubleclick.net
49,com.sgn.sgotp.lotte,google.com
50,oracle.idm.mobile.authenticator,gstatic.com
51,com.dreammirae.anyauth.android,crashlytics.com
52,com.dreammirae.anyauth.android,firebaseinstallations.googleapis.com
53,com.dreammirae.anyauth.android,firebaseremoteconfig.googleapis.com
54,com.dreammirae.anyauth.android,dreammirae.com
55,dev.cat.coffee.authenticator,doubleclick.net
56,vn.com.sacombank.msign,google.com
57,vn.com.sacombank.msign,msacombank.com.vn
58,vn.com.sacombank.msign,isacombank.com.vn
59,com.techcombank.stk.corp,gstatic.com
60,com.trumotp.club,sdkbox.com
61,com.trumotp.club,facebook.com
62,wibmo.com.wibmoAuthApp,gstatic.com
63,br.gov.caixa.codigocaixa,gstatic.com
64,br.gov.caixa.codigocaixa,play.googleapis.com
65,br.gov.caixa.codigocaixa,ssiloc.com
66,br.gov.caixa.codigocaixa,caixa.gov.br
67,br.gov.caixa.codigocaixa,google.com
68,br.gov.caixa.codigocaixa,offlinepages-pa.googleapis.com
69,br.gov.caixa.codigocaixa,people-pa.googleapis.com
70,nh.smart.signone,nonghyup.com
71,com.dxc.ipwr,dxc.technology
72,com.vn.vib.smeotp,firebaseinstallations.googleapis.com
73,com.vn.vib.smeotp,crashlytics.com
74,com.vn.vib.smeotp,vib.com.vn
75,at.tugraz.iaik.signapp,transsped.ro
76,com.ftsafe.otp.activity,xiaomi.com
77,kr.kjun.NaverSetup,doubleclick.net
78,iSec.Authenticator,appcenter.ms
79,com.protectimus.android,protectimus.com
80,com.systemat.SeeZam_OTP,firebaseinstallations.googleapis.com
81,com.systemat.SeeZam_OTP,crashlytics.com
82,com.kmcert.myotp,myotp.co.kr
83,com.gstotpauthenticator,firebaseinstallations.googleapis.com
84,com.gstotpauthenticator,google.com
85,com.gstotpauthenticator,chromefeedcontentsuggestions-pa.googleapis.com
86,com.gstotpauthenticator,offlinepages-pa.googleapis.com
87,de.otp.main,telesec.de
88,vn.funtap.smartotp,platformjk.com
89,ua.com.cs.ifobs.mobile.android.otp,otpsmart.com.ua
90,com.mds.canarabankapp,canarabank.in
91,com.netfiles.netfilesotp,netfiles.de
92,eu.netinfo.bcb.otp,bcb.bm
93,com.stove.otp.google.android,onstove.com
94,com.stove.otp.google.android,81plug.com
95,com18deglab.cylocklite,google.com
96,com18deglab.cylocklite,mobilecrashreporting.googleapis.com
97,com.mdmobiasbancadigipass,offlinepages-pa.googleapis.com
98,com.mdmobiasbancadigipass,google.com
99,com.changingtec.motp.pro,crashlytics.com
100,com.changingtec.motp.pro,firebaseinstallations.googleapis.com
101,com.pacifico.pacificid,bp.fin.ec
102,com.lenovo.otp,lenovo.com
103,jp.konami.android.otp_token,konamionline.com
104,vn.savis.smartid,yandex.net
105,com.azure.authenticator,firebaseinstallations.googleapis.com
106,com.azure.authenticator,adjust.com
107,com.azure.authenticator,appcenter.ms
108,com.azure.authenticator,microsoft.com
109,vietcombank.itcenter.vcbsmartoptv10,google.com
110,vietcombank.itcenter.vcbsmartoptv10,clientservices.googleapis.com
111,vietcombank.itcenter.vcbsmartoptv10,offlinepages-pa.googleapis.com
112,vietcombank.itcenter.vcbsmartoptv10,vietcombank.com.vn
113,vietcombank.itcenter.vcbsmartoptv10,update.googleapis.com
114,com.scrignosa,firebaseinstallations.googleapis.com
115,com.scrignosa,popso.it
116,kr.or.kftc.fsc,kftc.or.kr
117,kr.or.kftc.fsc,vguard.co.kr
118,com.egypt.ais.aismotp,google.com
119,com.authenticator.authservice2,crashlytics.com
120,com.authenticator.authservice2,firebaseinstallations.googleapis.com
121,com.authenticator.authservice2,binaryboot.com
