app_id,type,status,reference,count
at.tugraz.iaik.signapp,fld,FP,easylist,1
ru.yandex.key,fld,TP,easylist,1
com.netfiles.netfilesotp,fld,FP,easyprivacy,1
ru.yandex.key,fld,FP,easylist,1
com.nof.makanoh.openkeypos,fld,TP,easylist,1
com.nof.makanoh.openkeypos,fld,TP,easyprivacy,1
com.novoload.otp,fld,TP,easylist,1
com.novoload.otp,fld,TP,easyprivacy,1
otl.snkl.SnorkelOTP,fld,FP,easyprivacy,1
com.pacifico.pacificid,fld,FP,easylist,1
com.pacifico.pacificid,fld,FP,easyprivacy,1
otl.snkl.SnorkelOTP,fld,FP,easylist,1
com.protectimus.android,fld,FP,easylist,1
com.protectimus.android,fld,FP,easyprivacy,1
com.protectimus.totpburner.nfc,fld,FP,easylist,6
com.protectimus.totpburner.nfc,fld,FP,easyprivacy,7
com.protectimus.totpburner.nfc,fld,TP,easylist,6
com.protectimus.totpburner.nfc,fld,TP,easyprivacy,5
oracle.idm.mobile.authenticator,fld,TP,easyprivacy,1
com.scrignosa,fld,FP,easylist,2
com.scrignosa,fld,FP,easyprivacy,2
oracle.idm.mobile.authenticator,fld,TP,easylist,1
ru.yandex.key,fld,TP,easyprivacy,2
com.sgn.sgotp,fld,TP,easylist,1
com.mds.canarabankapp,fld,FP,easyprivacy,1
com.mdmobiasbancadigipass,fld,TP,easyprivacy,1
vietcombank.itcenter.vcbsmartoptv10,fld,TP,easyprivacy,1
vietcombank.itcenter.vcbsmartoptv10,fld,TP,easylist,1
com.gstotpauthenticator,fld,FP,easylist,3
com.gstotpauthenticator,fld,FP,easyprivacy,3
com.gstotpauthenticator,fld,TP,easylist,1
com.gstotpauthenticator,fld,TP,easyprivacy,1
vietcombank.itcenter.vcbsmartoptv10,fld,FP,easyprivacy,4
vietcombank.itcenter.vcbsmartoptv10,fld,FP,easylist,4
com.halcom.ng.mobile.puppaltr,fld,FP,easylist,1
com.halcom.ng.mobile.puppaltr,fld,FP,easyprivacy,1
com.inwebo.authenticator,fld,FP,easylist,1
com.inwebo.authenticator,fld,FP,easyprivacy,1
com.kmcert.myotp,fld,FP,easylist,1
com.kmcert.myotp,fld,FP,easyprivacy,1
ua.com.cs.ifobs.mobile.android.otp,fld,FP,easyprivacy,1
ua.com.cs.ifobs.mobile.android.otp,fld,FP,easylist,1
com.lenovo.otp,fld,FP,easylist,1
com.lenovo.otp,fld,TP,easyprivacy,1
com.mdmobiasbancadigipass,fld,FP,easylist,1
com.mdmobiasbancadigipass,fld,FP,easyprivacy,1
com.mdmobiasbancadigipass,fld,TP,easylist,1
com.mds.canarabankapp,fld,FP,easylist,1
