app_id,activity,exp_activity,exp_provider,exp_receiver,exp_service,provider,receiver,service,pct_exp_act,pct_exp_serv,pct_exp_rec,pct_exp_prov
ar.gob.afip.mobile.android.internal.seginfo,7.0,,,,,1.0,,,,,,
at.tugraz.iaik.signapp,3.0,1.0,,2.0,,1.0,3.0,5.0,0.33,,0.67,
br.com.powersoftware.otpsafe,4.0,,,,,2.0,1.0,,,,,
br.com.voegol.tokenagenciasgol,38.0,6.0,,2.0,3.0,1.0,8.0,13.0,0.16,0.23,0.25,
br.gov.caixa.codigocaixa,7.0,,,,1.0,,,1.0,,1.0,,
club.nagavip.otp,4.0,,,3.0,,1.0,9.0,13.0,,,0.33,
com.ADIBSDIGIPASS,3.0,,,,,,,,,,,
com.BANKABC,2.0,,,,,,,,,,,
com.BankMisrSoftToken,3.0,,,,,,,,,,,
com.CIBEgyptSecureToken,2.0,,,,,,1.0,2.0,,,,
com.FAISATOKEN,3.0,,,,,,,,,,,
com.GlowOTP,3.0,,,,,,,,,,,
com.LuxTrustMobile,33.0,2.0,,1.0,1.0,6.0,12.0,13.0,0.06,0.08,0.08,
com.Sigma,1.0,,,,,,,,,,,
com.aff.otpdirekt,27.0,3.0,,3.0,3.0,5.0,11.0,14.0,0.11,0.21,0.27,
com.aircuve.aircuvemobile,13.0,,,2.0,2.0,1.0,6.0,7.0,,0.29,0.33,
com.aircuve.airotp,6.0,,,,,,,,,,,
com.aircuve.motpkey_miraeasset,8.0,,,,,,,,,,,
com.andxor.mobile.jsotp.piteco,3.0,,,,,,,,,,,
com.arcot.otp1,19.0,,1.0,,,1.0,,,,,,1.0
com.atsolution.android.bcotp,12.0,,,,,,,,,,,
com.atsolution.android.uotp2,12.0,,,,,,,2.0,,,,
com.authenticator.authservice2,35.0,2.0,,2.0,1.0,2.0,8.0,13.0,0.06,0.08,0.25,
com.authy.authy,30.0,,,1.0,1.0,1.0,6.0,14.0,,0.07,0.17,
com.azure.authenticator,43.0,6.0,1.0,4.0,9.0,5.0,22.0,27.0,0.14,0.33,0.18,0.2
com.bankofamerica.authenticator,3.0,,,2.0,,1.0,4.0,7.0,,,0.5,
com.beemdevelopment.aegis,14.0,1.0,,,,2.0,,1.0,0.07,,,
com.bitrixsoft.otp,12.0,,,,,,,,,,,
com.bncr.detectid_otp,23.0,4.0,,2.0,2.0,2.0,5.0,8.0,0.17,0.25,0.4,
com.ca.sec.aa.authenticator,13.0,,,2.0,2.0,1.0,4.0,6.0,,0.33,0.5,
com.canopus.otpmacgenerator,9.0,,,,,,1.0,1.0,,,,
com.canopus.otpmacgenerator.finductive,9.0,,,,,,1.0,1.0,,,,
com.cbcapp.otp.activity,8.0,,,,,,2.0,1.0,,,,
com.changingtec.motp.pro,12.0,,,1.0,,1.0,3.0,7.0,,,0.33,
com.cibcorptoken,2.0,,,,,,1.0,2.0,,,,
com.deepnet.andmob5,3.0,,,2.0,3.0,1.0,3.0,8.0,,0.38,0.67,
com.dreammirae.anyauth.android,34.0,1.0,,1.0,2.0,3.0,10.0,10.0,0.03,0.2,0.1,
com.dreammirae.otp.android.mirae,17.0,,,,,1.0,1.0,,,,,
com.dreammirae.otp.android.mirae.multiid.market,22.0,,,1.0,3.0,3.0,11.0,11.0,,0.27,0.09,
com.dxc.ipwr,2.0,,,,,1.0,1.0,,,,,
com.egypt.ais.aismotp,13.0,,,,1.0,,,1.0,,1.0,,
com.egypt.ais.masriacard.mcmotp,10.0,,,,1.0,,,1.0,,1.0,,
com.entrust.identityGuard.mobile,32.0,3.0,,2.0,,2.0,6.0,7.0,0.09,,0.33,
com.eset.esa,5.0,1.0,,2.0,2.0,2.0,4.0,5.0,0.2,0.4,0.5,
com.ezmcom.cimb.softtoken.ezidv4,17.0,,,,,,,,,,,
com.feelanet.artstrongid.sec,9.0,1.0,,2.0,,2.0,4.0,7.0,0.11,,0.5,
com.forgerock.authenticator,12.0,1.0,,1.0,2.0,1.0,1.0,4.0,0.08,0.5,1.0,
com.ftsafe.otp.activity,53.0,,,2.0,2.0,1.0,5.0,5.0,,0.4,0.4,
com.gemalto.idprove,22.0,,,,,,3.0,1.0,,,,
com.goldtime.authy,3.0,,,,,,,,,,,
com.google.android.apps.authenticator2,19.0,1.0,,1.0,1.0,,3.0,1.0,0.05,1.0,0.33,
com.gstotpauthenticator,6.0,,,1.0,2.0,2.0,2.0,5.0,,0.4,0.5,
com.halcom.ng.mobile.puppaltr,91.0,,,,,1.0,,,,,,
com.hidglobal.ia.token.generic,15.0,,,,,,,,,,,
com.hpe.icewall.smartotp,5.0,1.0,,1.0,,,1.0,,0.2,,1.0,
com.ideasventure.otptoken,8.0,,,,,,,,,,,
com.inwebo.authenticator,32.0,,,1.0,2.0,1.0,4.0,5.0,,0.4,0.25,
com.isprint.SWIFTToken,26.0,,,,,,,,,,,
com.jeptoken,5.0,,,,,,,,,,,
com.khla.otpapp.callhttpclient,5.0,,,,,,,,,,,
com.kienlongbank.etoken,18.0,2.0,,2.0,3.0,1.0,5.0,9.0,0.11,0.33,0.4,
com.kiwoom.unitycert,15.0,,,,1.0,1.0,1.0,1.0,,1.0,,
com.kmcert.myotp,19.0,,,2.0,2.0,1.0,4.0,9.0,,0.22,0.5,
com.lenovo.otp,12.0,,,,,,,,,,,
com.lpb.softotp,8.0,,,1.0,,1.0,3.0,7.0,,,0.33,
com.mastersam.android.mastersamotp,2.0,,,,,,,,,,,
com.mdmobiasbancadigipass,2.0,,,,,,1.0,2.0,,,,
com.mds.canarabankapp,9.0,,,,,1.0,,,,,,
com.mobilians.motp,7.0,,,2.0,1.0,3.0,3.0,7.0,,0.14,0.67,
com.mollatech.android.apps.authenticators,8.0,,,,,,,,,,,
com.mts.opt2,5.0,1.0,,,,1.0,,1.0,0.2,,,
com.namirial.android.virtualotp,8.0,1.0,,1.0,,3.0,3.0,7.0,0.12,,0.33,
com.ncb.bank.otp,7.0,,,,,,,,,,,
com.ncs.secureconnect.otp,7.0,,,,,,,,,,,
com.net2recharge.otp,4.0,,,,,,,,,,,
com.netfiles.netfilesotp,3.0,,,,,,,,,,,
com.nhn.hangameotp,10.0,,,2.0,2.0,5.0,11.0,11.0,,0.18,0.18,
com.nof.makanoh.openkeypos,2.0,,,,,1.0,,,,,,
com.novoload.otp,4.0,,,,,,,,,,,
com.ocb.iotp,16.0,,,2.0,3.0,2.0,3.0,7.0,,0.43,0.67,
com.pacifico.pacificid,36.0,5.0,,2.0,3.0,1.0,9.0,11.0,0.14,0.27,0.22,
com.pentasecurity.isignplus.mobileotp,7.0,,,,,,,,,,,
com.portwise.mid.clients.android,7.0,,,,,,,1.0,,,,
com.pozitron.qib,29.0,1.0,,2.0,3.0,2.0,5.0,9.0,0.03,0.33,0.4,
com.protectimus.android,17.0,,,,1.0,1.0,,2.0,,0.5,,
com.protectimus.totpburner.nfc,10.0,1.0,,1.0,3.0,1.0,5.0,7.0,0.1,0.43,0.2,
com.pvcombank.smartotp,3.0,,,1.0,,1.0,1.0,,,,1.0,
com.qrail.token,15.0,,,1.0,2.0,1.0,5.0,5.0,,0.4,0.2,
com.rcdevs.auth,19.0,2.0,,1.0,,2.0,1.0,4.0,0.11,,1.0,
com.sbi.SBIFreedomPlus,11.0,,,,,2.0,3.0,5.0,,,,
com.sbi.SBISecure,2.0,,,,,1.0,,,,,,
com.scrignosa,15.0,,,1.0,1.0,3.0,11.0,12.0,,0.08,0.09,
com.securekiotp,2.0,,,,,,,,,,,
com.sgn.secureguardotp,8.0,,,,,,,,,,,
com.sgn.sgotp,4.0,,,,,,,,,,,
com.sgn.sgotp.lotte,3.0,,,,,,,,,,,
com.sitin.sitinotp,3.0,,,,,,,,,,,
com.sophos.sophtoken,18.0,,,,,,,,,,,
com.square_enix_software_token,3.0,,,,,,,,,,,
com.stove.otp.google.android,19.0,3.0,,2.0,3.0,2.0,5.0,8.0,0.16,0.38,0.4,
