file_name,activities,exp_act,services,exp_serv,receivers,exp_rec,providers,exp_prov
it.uiv.uivotp-2.apk,3,0,0,0,0,0,0,0
com.mobilians.motp-51.apk,7,0,7,1,3,2,3,0
com.vivokey.vivoauth-19902.apk,5,1,0,0,0,0,1,0
jp.co.nttdata.onetimepassworda-9.apk,19,1,4,3,1,1,1,0
com.andxor.mobile.jsotp.piteco-20100.apk,3,0,0,0,0,0,0,0
com.mts.opt2-1.apk,5,1,1,0,0,0,1,0
oracle.idm.mobile.authenticator-30.apk,21,0,7,2,3,2,1,0
wibmo.com.wibmoAuthApp-25.apk,15,1,6,4,5,3,2,0
com.forgerock.authenticator-132.apk,12,1,4,2,1,1,1,0
com.stove.otp.google.android-21.apk,19,6,8,3,5,2,2,0
com.ocb.iotp-18.apk,16,0,7,4,3,2,2,0
com.mds.canarabankapp-6.apk,9,0,0,0,0,0,1,0
com.kmcert.myotp-91.apk,19,0,9,4,4,3,1,0
cy.nbg.nbgcyotp-5.apk,6,1,7,0,4,2,2,0
club.nagavip.otp-3.apk,4,0,13,0,9,6,1,0
com.ADIBSDIGIPASS-41802.apk,3,0,0,0,0,0,0,0
com.yubico.yubioath-20199.apk,6,1,0,0,0,0,1,0
org.kamrul.android.myauth-2.apk,7,0,0,0,0,0,1,0
tdb.otp-4.apk,8,1,0,0,0,0,0,0
com.GlowOTP-41705.apk,3,0,0,0,0,0,0,0
com.sgn.secureguardotp-3.apk,8,1,0,0,0,0,0,0
it.company.sielte-102.apk,5,1,5,4,4,2,2,0
com.arcot.otp1-53.apk,19,6,0,0,0,0,1,1
sg.worktable.pingoauth-8.apk,7,1,7,0,4,2,2,0
com.gemalto.idprove-14.apk,22,1,1,0,3,2,0,0
vn.mk.token.baseotp-52.apk,7,1,5,0,3,2,2,0
com.zenithbank.zenithetoken-7.apk,35,0,0,0,0,0,0,0
com.net2recharge.otp-3.apk,4,0,0,0,0,0,0,0
com.novoload.otp-2.apk,4,0,0,0,0,0,0,0
com.aircuve.aircuvemobile-50.apk,13,2,7,3,6,3,1,0
com.pentasecurity.isignplus.mobileotp-11.apk,7,0,0,0,0,0,0,0
ar.gob.afip.mobile.android.internal.seginfo-34.apk,7,0,0,0,0,0,1,0
two.factor.secure.otp.authentication-1.apk,15,2,1,0,2,2,2,0
com.goldtime.authy-9.apk,3,0,0,0,0,0,0,0
org.fedorahosted.freeotp-17.apk,6,0,0,0,0,0,0,0
com.beemdevelopment.aegis-45.apk,14,2,1,0,0,0,2,0
com.inwebo.authenticator-54.apk,32,25,5,2,4,2,1,0
com.trumotp.club-4.apk,2,0,0,0,0,0,1,1
com.lenovo.otp-25.apk,12,0,0,0,0,0,0,0
hr.asseco.android.intesa.isbd.alex-672.apk,51,1,9,1,8,2,9,0
vn.com.eximbank.softotp-18.apk,12,3,12,1,12,3,3,0
eu.sebbe.www.qrsa-5.apk,1,1,0,0,0,0,0,0
net.secuwiz.prudentialotp-1.apk,1,0,0,0,0,0,0,0
