file_name,activity_perc,service_perc,receiver_perc,provider_per
it.uiv.uivotp-2.apk,0.0,0.0,0.0,0.0
com.mobilians.motp-51.apk,0.0,14.29,66.67,0.0
com.vivokey.vivoauth-19902.apk,20.0,14.29,66.67,0.0
jp.co.nttdata.onetimepassworda-9.apk,5.26,75.0,100.0,0.0
com.andxor.mobile.jsotp.piteco-20100.apk,0.0,75.0,100.0,0.0
com.mts.opt2-1.apk,20.0,0.0,100.0,0.0
oracle.idm.mobile.authenticator-30.apk,0.0,28.57,66.67,0.0
wibmo.com.wibmoAuthApp-25.apk,6.67,66.67,60.0,0.0
com.forgerock.authenticator-132.apk,8.33,50.0,100.0,0.0
com.stove.otp.google.android-21.apk,31.58,37.5,40.0,0.0
com.ocb.iotp-18.apk,0.0,57.14,66.67,0.0
com.mds.canarabankapp-6.apk,0.0,57.14,66.67,0.0
com.kmcert.myotp-91.apk,0.0,44.44,75.0,0.0
cy.nbg.nbgcyotp-5.apk,16.67,0.0,50.0,0.0
club.nagavip.otp-3.apk,0.0,0.0,66.67,0.0
com.ADIBSDIGIPASS-41802.apk,0.0,0.0,66.67,0.0
com.yubico.yubioath-20199.apk,16.67,0.0,66.67,0.0
org.kamrul.android.myauth-2.apk,0.0,0.0,66.67,0.0
tdb.otp-4.apk,12.5,0.0,66.67,0.0
com.GlowOTP-41705.apk,0.0,0.0,66.67,0.0
com.sgn.secureguardotp-3.apk,12.5,0.0,66.67,0.0
it.company.sielte-102.apk,20.0,80.0,50.0,0.0
com.arcot.otp1-53.apk,31.58,80.0,50.0,0.0
sg.worktable.pingoauth-8.apk,14.29,0.0,50.0,0.0
com.gemalto.idprove-14.apk,4.55,0.0,66.67,0.0
vn.mk.token.baseotp-52.apk,14.29,0.0,66.67,0.0
com.zenithbank.zenithetoken-7.apk,0.0,0.0,66.67,0.0
com.net2recharge.otp-3.apk,0.0,0.0,66.67,0.0
com.novoload.otp-2.apk,0.0,0.0,66.67,0.0
com.aircuve.aircuvemobile-50.apk,15.38,42.86,50.0,0.0
com.pentasecurity.isignplus.mobileotp-11.apk,0.0,42.86,50.0,0.0
ar.gob.afip.mobile.android.internal.seginfo-34.apk,0.0,42.86,50.0,0.0
two.factor.secure.otp.authentication-1.apk,13.33,0.0,100.0,0.0
com.goldtime.authy-9.apk,0.0,0.0,100.0,0.0
