app_id,lib_name,lib_type,TargetedAds,MobileAnalytics,Analytics,AnyTrackingLibrary
com.nof.makanoh.openkeypos,Google Ads,Targeted ads,True,False,False,True
com.forgerock.authenticator,Fasterxml,Utility,False,False,False,False
com.forgerock.authenticator,Squareup,Payment,False,False,False,False
com.authy.authy,Amazonaws,Utility,False,False,False,False
com.authy.authy,Squareup,Payment,False,False,False,False
com.authy.authy,Google Ads,Targeted ads,True,False,False,True
vn.unlimit.magicauth,Adobe,Utility,False,False,False,False
vn.unlimit.magicauth,Facebook,Social networking service,False,False,False,False
vn.unlimit.magicauth,Google Ads,Targeted ads,True,False,False,True
no.buypass.mobile.bpcode.bp,Jakewharton,Ui component,False,False,False,False
com.deepnet.andmob5,Nostra13,Utility,False,False,False,False
com.deepnet.andmob5,Google Ads,Targeted ads,True,False,False,True
hr.asseco.android.jimba.otpretailng,Actionbarsherlock,Utility,False,False,False,False
hr.asseco.android.jimba.otpretailng,Commonsware,Utility,False,False,False,False
hr.asseco.android.jimba.otpretailng,Crashlytics,Utilities,False,False,False,False
hr.asseco.android.jimba.otpretailng,Devsmart,Ui component,False,False,False,False
hr.asseco.android.jimba.otpretailng,Squareup,Payment,False,False,False,False
hr.asseco.android.jimba.otpretailng,Viewpagerindicator,Ui component,False,False,False,False
hr.asseco.android.jimba.otpretailng,Google Ads,Targeted ads,True,False,False,True
netinfo.eu.symantec,Crashlytics,Utilities,False,False,False,False
netinfo.eu.symantec,Google Ads,Targeted ads,True,False,False,True
br.com.powersoftware.otpsafe,Phonegap,Utility,False,False,False,False
com.canopus.otpmacgenerator,Github,Utility,False,False,False,False
com.canopus.otpmacgenerator,Squareup,Payment,False,False,False,False
com.feelanet.artstrongid.sec,Crashlytics,Utilities,False,False,False,False
com.feelanet.artstrongid.sec,Github,Utility,False,False,False,False
com.feelanet.artstrongid.sec,Google Ads,Targeted ads,True,False,False,True
io.faceotp.faceotp,Bumptech,Utility,False,False,False,False
io.faceotp.faceotp,Facebook,Social networking service,False,False,False,False
io.faceotp.faceotp,Google Ads,Targeted ads,True,False,False,True
com.namirial.android.virtualotp,Crashlytics,Utilities,False,False,False,False
com.namirial.android.virtualotp,Google Ads,Targeted ads,True,False,False,True
com.bncr.detectid_otp,Crashlytics,Utilities,False,False,False,False
com.bncr.detectid_otp,Google Ads,Targeted ads,True,False,False,True
it.previnet.authenticator,Squareup,Payment,False,False,False,False
it.previnet.authenticator,Google Ads,Targeted ads,True,False,False,True
com.rcdevs.auth,Appcelerator,Utility,False,False,False,False
com.sgn.sgotp,Github,Utility,False,False,False,False
kr.co.neople.neopleotp,Bumptech,Utility,False,False,False,False
kr.co.neople.neopleotp,Crashlytics,Utilities,False,False,False,False
kr.co.neople.neopleotp,Google Ads,Targeted ads,True,False,False,True
kr.co.neople.neopleotp,Google Analytics,Mobile analytics,False,True,False,True
eu.netinfo.netteller.cqur.motp,Crashlytics,Utilities,False,False,False,False
eu.netinfo.netteller.cqur.motp,Squareup,Payment,False,False,False,False
eu.netinfo.netteller.cqur.motp,Google Ads,Targeted ads,True,False,False,True
club.nagavip.otp,Facebook,Social networking service,False,False,False,False
club.nagavip.otp,Google Ads,Targeted ads,True,False,False,True
com.halcom.ng.mobile.puppaltr,Facebook,Social networking service,False,False,False,False
com.halcom.ng.mobile.puppaltr,Google Ads,Targeted ads,True,False,False,True
