,appId,title,score,rating,review,comment,priceT,install,genre,developer,release,email
0,com.nof.makanoh.openkeypos,Mobile OTP,3.1,67,34,"['Otp not working properly otp not visible and OTP is not visible', 'I use this app since 2 days but I did not get any reward yet .', 'Worst app ever, totally time wasting and make aggressive.', 'This is very awsome app', 'Worst app Time waste Bad app .']",Free,10000,TOOLS,Izzat App,"Mar 27, 2017",pjmc3bismillah@gmail.com
1,com.forgerock.authenticator,ForgeRock Authenticator,3.8,324,87,"['An OTP preview should be enabled at home page itself. Everytime getting into the account in order to see OTP. This is not a good development. Learn from Microsoft Authenticator.', 'Please enable copy of code in app and diff pages for diff account will great with enable copy of Code. VIP access app has the functionality.. please refer for more info', 'Always giving codes that are about to expire so by the time you key it in the code has expired and you gotta key in the new one.', ""It's good vpn for me because it can access to my banking website."", 'Brilliant security authentication for the office. Makes secure remote working a whole lot easier 👍']",Free,100000,TOOLS,ForgeRock,"Dec 15, 2015",support@forgerock.com
2,com.authy.authy,Twilio Authy 2-Factor Authentication,3.9,39231,12917,"[""Fantastic. I love the ability to backup and sync. Reordering the sites is also great. The one drawback is screen allocation. I took one star off for this. On grid mode, the layout favors the site logo and code, leaving the grid of sites very short. There is a lot of wasted space that I would like to see allocated to the grid, so I don't have to scroll. Maybe a movable divider or alternate layout for the grid?"", 'I know alot of people have had bad experiences with this app but mine have been.. okay. Not amazing or terrible just okay. I currently have this just for discord, and it works nicely, I copy, paste, done very simple. Unfortunately if you forget or wish to change your backup password I wish you the best. The instructions are all in portuguese and very difficult to change it even with a translator. If your looking for a decent one, go for google or microsoft.', 'Needs some polish around the edges. The code displays too low on the screen and is often partially obscured by the keyboard. There is enough white space to move it up. The time left graphical bar indicator is too narrow and not prominent enough with colored backgrounds. Bar should be thicker and of a contrasting color or border to make it stand out.', ""I've been using Authy for 5 years now. MultiDevice usage (iPad, PC, Mac, Android Phone). Never had a problem. I can reset any of my devices without any worries becausd I can restore the accounts with simple steps and a backup password. I really belive people trashing this app maybe don't really know how to use it. Even today 2FA is a tricky concept for many users, things can go very wrong if you don't know what you're doing and you can lose access to your accounts (with this or any 2FA app)"", 'The codes i get from this app is not letting me into my Twitch Account at all! I have tried everything registered through this, i have also had my phone number updated in time also. When it skips a space in the middle for the code i cannot get the space bar i need in twitch also on that end. I tried everything. Yes its tricky but there should be customer support for all this! I fill out a form & get no response back! Today people need customer support even if its not 24/7.']",Free,10000000,TOOLS,Authy,"Mar 7, 2012",support@authy.com
3,vn.unlimit.magicauth,"Magic Authenticator - Fast 2FA, TOTP Client",3.8,16,7,"['I never needed this app but im always willing to rely on anything besides google apps but this just isnt as user friendly as id hoped', 'This is bad no way installing after this']",Free,1000,TOOLS,Magic tools,"Dec 19, 2018",chiasenhac.us@gmail.com
4,no.buypass.mobile.bpcode.bp,Buypass Code,3.5,271,86,"['July 13, 2020 update of the App broke Face Unlock on Google Pixel phones. It worked fine before, but now only fingerprint is supported, which the Pixel does not have. So, pretty bad update for Google Pixel 4 owners. August 19 update fixed the Face Unlock issue, so it now works perfectly. Impressive to see a company that is able to take feedback and fix issues so quickly.', ""I had issues login in to my Facebook because of 2FA authentication issues and I don't have this phone number anymore, and I tried every possible way to by pass the verification code, not successful.I thought this application will help me by pass the problem but not.Just I deleted it."", 'This app nah rubbish app I put three different number to verify it But unfortunately they did not send me verification code neither calling The app sucks🤐', 'This app is so good and best for unlocking coads.', ""Not working on facebook 2fa. I lost my phone number now i can't long in my facebook account with code.this app not helpful for me""]",Free,100000,TOOLS,Buypass AS,"Jan 9, 2017",kundeservice@buypass.no
5,com.cbcapp.otp.activity,China Bank OTP,3.1,16,7,"['Not working.. while other mobile banking apps are working', 'My phone with this app broke. Can I still generate OTP if I download it on another device?', 'not working on my phone', 'It doest work. Period', 'totally useless very confusing']",Free,5000,BUSINESS,China Banking Corporation,"Jun 21, 2018",cbcmobileapps36@gmail.com
6,com.mastersam.android.mastersamotp,MasterSAM OTP,4.4,11,4,"['Simple n lite', 'Amazing', 'An amazing security product that easy to use', 'Ok']",Free,1000,TOOLS,Silverlake MasterSAM,"Nov 11, 2016",info@mastersam.com
7,com.egypt.ais.masriacard.mcmotp,MC OTP,0.0,0,0,[],Free,10,FINANCE,MasriaCard,"Nov 11, 2019",Developers@masriacard.com
8,com.dreammirae.otp.android.mirae.multiid.market,Any OTP,3.1,144,49,"['Fake fake fake', 'Pure fake fake fake fake', 'Fake fake nd fake', 'I wish I can give zero ★', 'Facke app dont downding plz fake fake fake']",Free,100000,TOOLS,mirae-tech,"Sep 21, 2016",miraetech0@gmail.com
9,token.security.m2m.com.generateotp,MauBank Secure Token,2.9,55,26,"['Some documentation missing here, that is, you will have to call MPCB to activate this app on your mobile. After that, it works perfectly well. Somehow I find it a little bit more secure than sms OTP, as you have to login to the token app to get the OTP. Thaaaanks MPCB. Keep the good stuff coming.', 'Does not seem to work on other sites. Should be using OTP via SMS. better and more reactive.', ""After installing the app..I contact them they told me in a day will get my I'd after confirmation..weeks passed nobody contact me,very bad experience!!"", 'Registration issues. No passcode is sent by SMS to register.', 'It would have been better to pay money from mobile']",Free,10000,FINANCE,MauBank Ltd,"May 16, 2017",info@maubank.mu
