file_name;class_dex;types;matches
it.uiv.uivotp-2.apk.json;classes.dex;compiler;['r8 without marker (suspicious)']
com.mobilians.motp-51.apk.json;classes.dex;anti_debug;['Debug.isDebuggerConnected() check']
com.mobilians.motp-51.apk.json;classes.dex;anti_vm;['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'Build.TAGS check']
com.mobilians.motp-51.apk.json;classes.dex;compiler;['unknown (please file detection issue!)']
com.vivokey.vivoauth-19902.apk.json;classes.dex;compiler;['dx']
jp.co.nttdata.onetimepassworda-9.apk.json;classes.dex;anti_vm;['Build.MODEL check', 'possible Build.SERIAL check']
jp.co.nttdata.onetimepassworda-9.apk.json;classes.dex;compiler;['r8']
jp.co.nttdata.onetimepassworda-9.apk.json;res/raw/jcmandroidfips.raw!classes.dex;compiler;['dx']
com.andxor.mobile.jsotp.piteco-20100.apk.json;classes.dex;anti_debug;['Debug.isDebuggerConnected() check']
com.andxor.mobile.jsotp.piteco-20100.apk.json;classes.dex;anti_vm;['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check']
com.andxor.mobile.jsotp.piteco-20100.apk.json;classes.dex;compiler;['dx (possible dexmerge)']
com.andxor.mobile.jsotp.piteco-20100.apk.json;classes.dex;manipulator;['dexmerge']
com.mts.opt2-1.apk.json;classes.dex;compiler;['r8']
oracle.idm.mobile.authenticator-30.apk.json;classes.dex;anti_vm;['network operator name check']
oracle.idm.mobile.authenticator-30.apk.json;classes.dex;compiler;['unknown (please file detection issue!)']
wibmo.com.wibmoAuthApp-25.apk.json;classes.dex;anti_debug;['Debug.isDebuggerConnected() check']
wibmo.com.wibmoAuthApp-25.apk.json;classes.dex;anti_vm;['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'Build.TAGS check', 'SIM operator check', 'network operator name check', 'possible ro.secure check', 'possible VM check']
wibmo.com.wibmoAuthApp-25.apk.json;classes.dex;compiler;['dx']
com.forgerock.authenticator-132.apk.json;classes.dex;compiler;['r8']
com.forgerock.authenticator-132.apk.json;classes2.dex;compiler;['r8 without marker (suspicious)']
com.stove.otp.google.android-21.apk.json;classes.dex;anti_vm;['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'network operator name check']
com.stove.otp.google.android-21.apk.json;classes.dex;compiler;['r8']
com.stove.otp.google.android-21.apk.json;classes2.dex;compiler;['r8 without marker (suspicious)']
com.ocb.iotp-18.apk.json;;obfuscator;['Obfuscator-LLVM version 3.5']
com.ocb.iotp-18.apk.json;lib/armeabi-v7a/libpcdjcjjneceh.so;obfuscator;['Obfuscator-LLVM version 3.5']
com.ocb.iotp-18.apk.json;lib/arm64-v8a/libpcdjcjjneceh.so;obfuscator;['Obfuscator-LLVM version 3.5']
com.ocb.iotp-18.apk.json;lib/x86/libpcdjcjjneceh.so;obfuscator;['Obfuscator-LLVM version 3.5']
com.ocb.iotp-18.apk.json;lib/x86_64/libpcdjcjjneceh.so;obfuscator;['Obfuscator-LLVM version 3.5']
com.ocb.iotp-18.apk.json;classes.dex;anti_debug;['Debug.isDebuggerConnected() check']
com.ocb.iotp-18.apk.json;classes.dex;anti_vm;['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'possible VM check']
com.ocb.iotp-18.apk.json;classes.dex;compiler;['dexlib 2.x']
com.ocb.iotp-18.apk.json;classes.dex;obfuscator;['unreadable field names', 'unreadable method names']
com.ocb.iotp-18.apk.json;classes2.dex;anti_vm;['possible Build.SERIAL check', 'Build.TAGS check', 'possible VM check']
com.ocb.iotp-18.apk.json;classes2.dex;compiler;['dexlib 2.x']
com.mds.canarabankapp-6.apk.json;classes.dex;anti_vm;['Build.TAGS check']
com.mds.canarabankapp-6.apk.json;classes.dex;compiler;['r8']
