file_name,classes,compiler
com.nof.makanoh.openkeypos.apk,classes.dex,['r8']
com.forgerock.authenticator.apk,classes.dex,['r8']
com.forgerock.authenticator.apk,classes2.dex,['r8 without marker (suspicious)']
com.authy.authy.apk,classes.dex,['r8']
com.authy.authy.apk,classes2.dex,['r8 without marker (suspicious)']
vn.unlimit.magicauth.apk,classes.dex,['r8']
vn.unlimit.magicauth.apk,classes2.dex,['r8 without marker (suspicious)']
no.buypass.mobile.bpcode.bp.apk,classes.dex,['r8']
no.buypass.mobile.bpcode.bp.apk,classes2.dex,['r8']
com.cbcapp.otp.activity.apk,classes.dex,['dx']
com.mastersam.android.mastersamotp.apk,classes.dex,['dx (possible dexmerge)']
com.egypt.ais.masriacard.mcmotp.apk,classes.dex,['unknown (please file detection issue!)']
com.dreammirae.otp.android.mirae.multiid.market.apk,classes.dex,['r8']
token.security.m2m.com.generateotp.apk,classes.dex,['dx (possible dexmerge)']
com.deepnet.andmob5.apk,classes.dex,['r8']
com.deepnet.andmob5.apk,classes2.dex,['dx']
com.deepnet.andmob5.apk,res/raw/android_wear_micro_apk.apk!classes.dex,['r8']
hr.asseco.android.jimba.otpretailng.apk,classes.dex,['r8 without marker (suspicious)']
com.mts.opt2.apk,classes.dex,['r8']
com.inwebo.authenticator.apk,classes.dex,['dx']
net.secuwiz.prudentialotp.apk,classes.dex,['r8 without marker (suspicious)']
netinfo.eu.symantec.apk,classes.dex,['r8 without marker (suspicious)']
netinfo.eu.symantec.apk,classes2.dex,['r8 without marker (suspicious)']
br.com.powersoftware.otpsafe.apk,classes.dex,['r8']
com.canopus.otpmacgenerator.apk,classes.dex,['dx (possible dexmerge)']
hr.asseco.android.mtoken.ht.test.apk,classes.dex,['dx']
com.dreammirae.otp.android.mirae.apk,classes.dex,['dx']
it.aruba.pec.mobile.otpfvg.apk,classes.dex,['r8']
com.feelanet.artstrongid.sec.apk,classes.dex,['r8']
com.aircuve.aircuvemobile.apk,classes.dex,['r8 without marker (suspicious)']
com.nhn.hangameotp.apk,classes.dex,['dexlib 2.x']
it.aruba.pec.mobile.otp.apk,classes.dex,['r8']
com.bankofamerica.authenticator.apk,classes.dex,['r8']
com.novoload.otp.apk,classes.dex,['r8 without marker (suspicious)']
com.portwise.mid.clients.android.apk,classes.dex,['r8']
io.faceotp.faceotp.apk,assets/audience_network.dex,['unknown (please file detection issue!)']
io.faceotp.faceotp.apk,classes.dex,['unknown (please file detection issue!)']
com.atsolution.android.uotp2.apk,classes.dex,['unknown (please file detection issue!)']
com.namirial.android.virtualotp.apk,classes.dex,['r8']
com.mollatech.android.apps.authenticators.apk,classes.dex,['r8']
com.bncr.detectid_otp.apk,classes.dex,['r8 without marker (suspicious)']
com.bncr.detectid_otp.apk,classes2.dex,['r8 without marker (suspicious)']
it.previnet.authenticator.apk,classes.dex,['r8']
com.rcdevs.auth.apk,classes.dex,['r8']
com.sgn.sgotp.apk,classes.dex,['dx (possible dexmerge)']
kr.co.neople.neopleotp.apk,classes.dex,['r8']
kr.co.neople.neopleotp.apk,classes2.dex,['r8 without marker (suspicious)']
eu.netinfo.netteller.cqur.motp.apk,classes.dex,['r8']
club.nagavip.otp.apk,classes.dex,['r8']
ngn.com.vn.totp.apk,classes.dex,['dx (possible dexmerge)']
com.halcom.ng.mobile.puppaltr.apk,classes.dex,['dx']
com.halcom.ng.mobile.puppaltr.apk,classes2.dex,['dx']
