app_name,class_dex,types,matches
com.nof.makanoh.openkeypos.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.DEVICE check']"
com.nof.makanoh.openkeypos.apk,classes.dex,compiler,['r8']
com.forgerock.authenticator.apk,classes.dex,compiler,['r8']
com.forgerock.authenticator.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.authy.authy.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'possible VM check']"
com.authy.authy.apk,classes.dex,compiler,['r8']
com.authy.authy.apk,classes2.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.authy.authy.apk,classes2.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'Build.TAGS check', 'possible VM check']"
com.authy.authy.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
vn.unlimit.magicauth.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check']"
vn.unlimit.magicauth.apk,classes.dex,compiler,['r8']
vn.unlimit.magicauth.apk,classes2.dex,anti_vm,['Build.FINGERPRINT check']
vn.unlimit.magicauth.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
no.buypass.mobile.bpcode.bp.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
no.buypass.mobile.bpcode.bp.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check']"
no.buypass.mobile.bpcode.bp.apk,classes.dex,compiler,['r8']
no.buypass.mobile.bpcode.bp.apk,classes2.dex,compiler,['r8']
com.cbcapp.otp.activity.apk,classes.dex,anti_vm,['subscriber ID check']
com.cbcapp.otp.activity.apk,classes.dex,compiler,['dx']
com.mastersam.android.mastersamotp.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check']"
com.mastersam.android.mastersamotp.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.mastersam.android.mastersamotp.apk,classes.dex,manipulator,['dexmerge']
