app_name,anti_vm,obfuscator,anti_debug,anti_disassembly,manipulator,packer
com.nof.makanoh.openkeypos.apk,0,0,0,0,0,0
com.forgerock.authenticator.apk,0,0,0,0,0,0
com.authy.authy.apk,0,0,0,0,0,0
vn.unlimit.magicauth.apk,0,0,0,0,0,0
no.buypass.mobile.bpcode.bp.apk,0,0,0,0,0,0
com.cbcapp.otp.activity.apk,0,0,0,0,0,0
com.mastersam.android.mastersamotp.apk,0,0,0,0,1,0
com.egypt.ais.masriacard.mcmotp.apk,0,0,0,0,0,0
com.dreammirae.otp.android.mirae.multiid.market.apk,0,0,0,0,0,0
token.security.m2m.com.generateotp.apk,0,0,0,0,1,0
com.deepnet.andmob5.apk,0,0,0,0,0,0
hr.asseco.android.jimba.otpretailng.apk,0,0,0,0,0,0
com.mts.opt2.apk,0,0,0,0,0,0
com.inwebo.authenticator.apk,0,0,0,0,0,0
net.secuwiz.prudentialotp.apk,0,0,0,0,0,0
netinfo.eu.symantec.apk,0,0,0,0,0,0
br.com.powersoftware.otpsafe.apk,0,0,0,0,0,0
com.canopus.otpmacgenerator.apk,0,0,0,0,1,0
hr.asseco.android.mtoken.ht.test.apk,0,0,0,0,0,0
com.dreammirae.otp.android.mirae.apk,0,0,0,0,0,0
it.aruba.pec.mobile.otpfvg.apk,0,0,0,0,0,0
com.feelanet.artstrongid.sec.apk,0,0,0,0,0,0
com.aircuve.aircuvemobile.apk,0,1,0,0,0,0
com.nhn.hangameotp.apk,0,0,0,0,0,0
it.aruba.pec.mobile.otp.apk,0,0,0,0,0,0
com.bankofamerica.authenticator.apk,0,0,0,0,0,0
com.novoload.otp.apk,0,0,0,0,0,0
com.portwise.mid.clients.android.apk,0,0,0,0,0,0
io.faceotp.faceotp.apk,0,0,0,0,0,0
com.atsolution.android.uotp2.apk,0,0,0,0,0,0
com.namirial.android.virtualotp.apk,0,1,0,0,0,0
com.mollatech.android.apps.authenticators.apk,0,0,0,0,0,0
com.bncr.detectid_otp.apk,0,0,0,0,0,0
it.previnet.authenticator.apk,0,0,0,0,0,0
com.rcdevs.auth.apk,0,0,0,0,0,0
com.sgn.sgotp.apk,0,0,0,0,1,0
kr.co.neople.neopleotp.apk,0,0,0,0,0,0
eu.netinfo.netteller.cqur.motp.apk,0,0,0,0,0,0
club.nagavip.otp.apk,0,0,0,0,0,0
ngn.com.vn.totp.apk,0,0,0,0,1,0
com.halcom.ng.mobile.puppaltr.apk,0,0,0,0,0,0
com.yubico.yubiclip.apk,0,0,0,0,0,0
org.arcon.arcos.otp1.apk,0,0,0,0,1,0
ru.yandex.key.apk,0,0,0,0,0,0
com.vietinbank.softotp.apk,0,0,0,0,0,0
otl.snkl.SnorkelOTP.apk,0,0,0,0,0,0
de.sbeh.rdp_otp.apk,0,0,0,0,0,0
cy.com.netinfo.crdbotp.apk,0,0,0,0,0,0
hr.asseco.android.otp.apk,0,0,0,0,0,0
com.GlowOTP.apk,0,0,0,0,0,0
com.aff.otpdirekt.apk,0,0,0,0,0,0
com.zenithbank.zenithetoken.apk,0,0,0,0,0,0
com.CIBEgyptSecureToken.apk,0,0,0,0,0,0
com.goldtime.authy.apk,0,0,0,0,0,0
vn.tpb.token.baseotp.apk,0,0,0,0,0,0
com.BankMisrSoftToken.apk,0,0,0,0,0,0
com.sitin.sitinotp.apk,0,0,0,0,0,0
com.protectimus.totpburner.nfc.apk,0,0,0,0,0,0
com.sgn.sgotp.lotte.apk,0,0,0,0,1,0
oracle.idm.mobile.authenticator.apk,0,0,0,0,0,0
com.sgn.secureguardotp.apk,0,0,0,0,0,0
com.dreammirae.anyauth.android.apk,0,0,0,0,0,0
dev.cat.coffee.authenticator.apk,0,0,0,0,0,0
com.google.android.apps.authenticator2.apk,0,0,0,0,0,0
com.LuxTrustMobile.apk,0,0,0,0,0,0
sg.worktable.pingoauth.apk,0,0,0,0,0,0
vn.com.sacombank.msign.apk,0,0,0,0,0,0
com.kiwoom.unitycert.apk,1,0,0,0,0,0
com.techcombank.stk.corp.apk,0,1,0,0,0,0
eu.netinfo.cdb.otp.apk,0,0,0,0,0,0
com.bitrixsoft.otp.apk,0,0,0,0,1,0
org.juanjcsr.newcloudotp.apk,0,0,0,0,0,0
com.square_enix_software_token.apk,0,0,0,0,0,0
com.trumotp.club.apk,0,0,0,0,1,0
com.gemalto.idprove.apk,0,0,0,0,0,0
com.ncb.bank.otp.apk,0,0,0,0,0,0
org.cry.otp.apk,0,0,0,0,0,0
