file_name,permission,status,info
it.uiv.uivotp,android.permission.INTERNET,normal,full Internet access
com.mobilians.motp,android.permission.INTERNET,normal,full Internet access
com.mobilians.motp,android.permission.ACCESS_NETWORK_STATE,normal,view network status
com.mobilians.motp,android.permission.WAKE_LOCK,normal,prevent phone from sleeping
com.mobilians.motp,android.permission.READ_PHONE_STATE,dangerous,read phone state and identity
com.mobilians.motp,android.permission.READ_EXTERNAL_STORAGE,dangerous,read external storage contents
com.mobilians.motp,android.permission.WRITE_EXTERNAL_STORAGE,dangerous,read/modify/delete external storage contents
com.mobilians.motp,android.permission.CAMERA,dangerous,take pictures and videos
com.mobilians.motp,android.permission.CALL_PHONE,dangerous,directly call phone numbers
com.mobilians.motp,android.permission.WRITE_SETTINGS,dangerous,modify global system settings
com.mobilians.motp,android.permission.SET_ANIMATION_SCALE,dangerous,modify global animation speed
com.mobilians.motp,android.permission.WRITE_SECURE_SETTINGS,signatureOrSystem,modify secure system settings
com.mobilians.motp,android.permission.USE_FULL_SCREEN_INTENT,normal,
com.mobilians.motp,com.google.android.c2dm.permission.RECEIVE,signature,C2DM permissions
com.mobilians.motp,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,unknown,Unknown permission
com.vivokey.vivoauth,android.permission.NFC,normal,control Near-Field Communication
com.vivokey.vivoauth,android.permission.CAMERA,dangerous,take pictures and videos
jp.co.nttdata.onetimepassworda,android.permission.INTERNET,normal,full Internet access
jp.co.nttdata.onetimepassworda,android.permission.READ_PHONE_STATE,dangerous,read phone state and identity
jp.co.nttdata.onetimepassworda,android.permission.ACCESS_WIFI_STATE,normal,view Wi-Fi status
jp.co.nttdata.onetimepassworda,android.permission.CHANGE_WIFI_STATE,normal,change Wi-Fi status
jp.co.nttdata.onetimepassworda,com.google.android.c2dm.permission.RECEIVE,signature,C2DM permissions
jp.co.nttdata.onetimepassworda,android.permission.USE_BIOMETRIC,normal,
jp.co.nttdata.onetimepassworda,android.permission.ACCESS_NETWORK_STATE,normal,view network status
jp.co.nttdata.onetimepassworda,android.permission.WAKE_LOCK,normal,prevent phone from sleeping
jp.co.nttdata.onetimepassworda,android.permission.USE_FINGERPRINT,normal,allow use of fingerprint
com.andxor.mobile.jsotp.piteco,android.permission.INTERNET,normal,full Internet access
com.andxor.mobile.jsotp.piteco,android.permission.USE_FINGERPRINT,normal,allow use of fingerprint
com.andxor.mobile.jsotp.piteco,android.permission.CAMERA,dangerous,take pictures and videos
com.andxor.mobile.jsotp.piteco,android.permission.FLASHLIGHT,normal,control flashlight
com.mts.opt2,android.permission.ACCESS_NETWORK_STATE,normal,view network status
com.mts.opt2,android.permission.INTERNET,normal,full Internet access
oracle.idm.mobile.authenticator,android.permission.CAMERA,dangerous,take pictures and videos
oracle.idm.mobile.authenticator,android.permission.INTERNET,normal,full Internet access
oracle.idm.mobile.authenticator,android.permission.USE_FINGERPRINT,normal,allow use of fingerprint
