,file_name,dangerous,normal,signature,signatureOrSystem,unknown
0,ar.gob.afip.mobile.android.internal.seginfo,1.0,1.0,,,
1,at.tugraz.iaik.signapp,,3.0,1.0,,1.0
2,br.com.powersoftware.otpsafe,3.0,2.0,,,
3,br.com.voegol.tokenagenciasgol,5.0,6.0,1.0,,14.0
4,br.gov.caixa.codigocaixa,4.0,2.0,,,
5,club.nagavip.otp,2.0,5.0,1.0,,18.0
6,com.ADIBSDIGIPASS,2.0,4.0,,,1.0
7,com.BANKABC,2.0,3.0,,,2.0
8,com.BankMisrSoftToken,2.0,3.0,,,1.0
9,com.CIBEgyptSecureToken,1.0,2.0,,,2.0
10,com.FAISATOKEN,2.0,3.0,,,1.0
11,com.GlowOTP,3.0,4.0,,,1.0
12,com.LuxTrustMobile,6.0,13.0,1.0,,2.0
13,com.aff.otpdirekt,7.0,8.0,1.0,,3.0
14,com.aircuve.aircuvemobile,2.0,4.0,1.0,,1.0
15,com.aircuve.airotp,4.0,5.0,,1.0,1.0
16,com.aircuve.motpkey_miraeasset,2.0,5.0,,,
17,com.andxor.mobile.jsotp.piteco,1.0,3.0,,,
18,com.arcot.otp1,4.0,6.0,,,1.0
19,com.atsolution.android.bcotp,,1.0,,,
20,com.atsolution.android.uotp2,2.0,2.0,,,
21,com.authenticator.authservice2,3.0,8.0,1.0,,2.0
22,com.authy.authy,1.0,7.0,1.0,,
23,com.azure.authenticator,9.0,10.0,1.0,,9.0
24,com.bankofamerica.authenticator,1.0,5.0,1.0,,2.0
25,com.beemdevelopment.aegis,1.0,2.0,,,
26,com.bitrixsoft.otp,1.0,2.0,,,
27,com.bncr.detectid_otp,2.0,6.0,1.0,,21.0
28,com.ca.sec.aa.authenticator,5.0,7.0,1.0,,3.0
29,com.canopus.otpmacgenerator,1.0,,,,
30,com.canopus.otpmacgenerator.finductive,1.0,1.0,,,
31,com.cbcapp.otp.activity,4.0,6.0,,,
32,com.changingtec.motp.pro,2.0,5.0,1.0,,2.0
33,com.cibcorptoken,2.0,4.0,,,2.0
34,com.deepnet.andmob5,2.0,5.0,1.0,,1.0
35,com.dreammirae.anyauth.android,2.0,8.0,1.0,,3.0
36,com.dreammirae.otp.android.mirae,2.0,4.0,,,
