permission,count,status,info
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,55,unknown,Unknown permission
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,23,unknown,Unknown permission
com.google.android.providers.gsf.permission.READ_GSERVICES,10,unknown,Unknown permission
com.sec.android.provider.badge.permission.READ,6,unknown,Unknown permission
com.sec.android.provider.badge.permission.WRITE,6,unknown,Unknown permission
com.sonyericsson.home.permission.BROADCAST_BADGE,6,unknown,Unknown permission
com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,6,unknown,Unknown permission
com.anddoes.launcher.permission.UPDATE_COUNT,6,unknown,Unknown permission
com.htc.launcher.permission.READ_SETTINGS,6,unknown,Unknown permission
com.majeur.launcher.permission.UPDATE_BADGE,6,unknown,Unknown permission
com.htc.launcher.permission.UPDATE_SHORTCUT,6,unknown,Unknown permission
com.huawei.android.launcher.permission.CHANGE_BADGE,6,unknown,Unknown permission
com.huawei.android.launcher.permission.READ_SETTINGS,6,unknown,Unknown permission
com.huawei.android.launcher.permission.WRITE_SETTINGS,6,unknown,Unknown permission
com.oppo.launcher.permission.WRITE_SETTINGS,5,unknown,Unknown permission
android.permission.READ_APP_BADGE,5,unknown,Unknown permission
com.oppo.launcher.permission.READ_SETTINGS,5,unknown,Unknown permission
me.everything.badger.permission.BADGE_COUNT_READ,5,unknown,Unknown permission
com.android.vending.BILLING,5,unknown,Unknown permission
me.everything.badger.permission.BADGE_COUNT_WRITE,5,unknown,Unknown permission
com.easysolutions.detectid_otp.permission.C2D_MESSAGE,2,unknown,Unknown permission
com.android.browser.permission.READ_HISTORY_BOOKMARKS,2,unknown,Unknown permission
android.permission.sec.OTP_PROVISION,2,unknown,Unknown permission
kr.or.kftc.fsc.permission.C2D_MESSAGE,1,unknown,Unknown permission
hr.asseco.android.otp.permission.C2D_MESSAGE,1,unknown,Unknown permission
teakwang.tsis.motp.permission.C2D_MESSAGE,1,unknown,Unknown permission
sk.otp.viamo.permission.C2D_MESSAGE,1,unknown,Unknown permission
kr.co.neople.neopleotp.permission.C2D_MESSAGE,1,unknown,Unknown permission
com.kienlongbank.etoken.permission.C2D_MESSAGE,1,unknown,Unknown permission
otl.snkl.HDFCSnorkelOTP.permission.C2D_MESSAGE,1,unknown,Unknown permission
com.inwebo.authenticator.permission.C2D_MESSAGE,1,unknown,Unknown permission
com.nhn.hangameotp.toast.push.permission.RECEIVE,1,unknown,Unknown permission
com.nhn.hangameotp.toast.push.permission.SEND,1,unknown,Unknown permission
com.pacifico.pacificid.permission.C2D_MESSAGE,1,unknown,Unknown permission
hr.asseco.android.jimba.otpretailng.permission.MAPS_RECEIVE,1,unknown,Unknown permission
com18deglab.cylocklite.permission.C2D_MESSAGE,1,unknown,Unknown permission
com.protectimus.totpburner.nfc.permission.C2D_MESSAGE,1,unknown,Unknown permission
com.qrail.token.permission.C2D_MESSAGE,1,unknown,Unknown permission
com.qrail.token.receiver.EzTokenpermission,1,unknown,Unknown permission
com.rcdevs.auth.permission.MAPS_RECEIVE,1,unknown,Unknown permission
com.samsung.android.knox.permission.KNOX_CERTIFICATE,1,unknown,Unknown permission
com.samsung.android.knox.permission.KNOX_CERT_PROVISIONING,1,unknown,Unknown permission
com.stove.otp.google.android.permission.C2D_MESSAGE,1,unknown,Unknown permission
com.samsung.android.knox.permission.KNOX_ENTERPRISE_DEVICE_ADMIN,1,unknown,Unknown permission
com.samsung.android.knox.permission.KNOX_SECURITY,1,unknown,Unknown permission
com.sbi.SBIFreedomPlus.permission.C2D_MESSAGE,1,unknown,Unknown permission
com.aff.otpdirekt.permission.C2D_MESSAGE,1,unknown,Unknown permission
com.aff.otpdirekt.gcm.permission.C2D_MESSAGE,1,unknown,Unknown permission
android.permission.ACCESS_NETWORK,1,unknown,Unknown permission
android.permission.ACCESS_NOTIFICATION_POLICY ,1,unknown,Unknown permission
android.permission.INTERACT_ACROSS_USERS_FULL,1,unknown,Unknown permission
android.permission.sec.ENTERPRISE_DEVICE_ADMIN,1,unknown,Unknown permission
android.permission.sec.MDM_CERTIFICATE,1,unknown,Unknown permission
android.permission.sec.MDM_SECURITY,1,unknown,Unknown permission
br.com.voegol.tokenagenciasgol.permission.C2D_MESSAGE,1,unknown,Unknown permission
club.nagavip.otp.permission.C2D_MESSAGE,1,unknown,Unknown permission
