com.forgerock.authenticator, https://www.forgerock.com/privacy-policy/, True, en, text fine
com.authy.authy, https://www.twilio.com/legal/privacy/authy, False, en, text fine
vn.unlimit.magicauth, https://vpngate-connector.firebaseapp.com/magicauth/privacy_policy.html, True, en, text fine
com.cbcapp.otp.activity, http://www.chinabank.ph/about_china_bank.aspx?title=Privacy+Policy, True, en, text fine
com.egypt.ais.masriacard.mcmotp, http://www.masriacard.com, False, en, text fine
token.security.m2m.com.generateotp, http://maubank.mu, False, en, text fine
com.inwebo.authenticator, http://www.myinwebo.com/terms, True, en, text fine
hr.asseco.android.mtoken.ht.test, http://www.t.ht.hr/en/corporate-social-responsibility/protecting-privacy/#section-nav, False, en, text fine
com.dreammirae.otp.android.mirae, http://otp.nttgame.com/about/, False, en, text fine
com.bankofamerica.authenticator, https://www.bankofamerica.com/privacy, True, en, text fine
com.portwise.mid.clients.android, https://www.nexusgroup.com/nexus-privacy-policy/, True, en, text fine
com.mollatech.android.apps.authenticators, https://www.acledabank.com.kh/kh/eng/, False, en, text fine
com.bncr.detectid_otp, https://www.bncr.fi.cr/transparencia/Paginas/P%C3%A1ginas%20internas/Legal-Pol%C3%ADticas-Privacidad.aspx, False, en, text fine
ngn.com.vn.totp, http://ngn.com.vn, False, en, text fine
com.halcom.ng.mobile.puppaltr, https://otpbank.al/en/politikat-e-privatesise/, False, en, text fine
org.arcon.arcos.otp1, https://www.arconnet.com/privacy-policy, True, en, text fine
com.vietinbank.softotp, https://qldt.vnpay.vn/policy/privacy-policy-en.html, False, en, text fine
otl.snkl.SnorkelOTP, https://www.southindianbank.com/content/mobile-banking-privacy-policy/3735, True, en, text fine
cy.com.netinfo.crdbotp, https://simbanking.crdbbank.com/en/fetch/terms, False, en, text fine
hr.asseco.android.otp, https://see.asseco.com/privacy-policy/, False, en, text fine
com.zenithbank.zenithetoken, https://www.zenithbank.com/customer-service/privacy-policy/, False, en, text fine
com.CIBEgyptSecureToken, http://www.cibeg.com/English/pages/PrivacyPolicy.aspx, True, en, text fine
com.protectimus.totpburner.nfc, https://www.protectimus.com/privacy-policy, True, en, text fine
com.sgn.sgotp.lotte, http://www.sgni.co.kr, False, en, text fine
oracle.idm.mobile.authenticator, http://www.oracle.com/us/legal/privacy/index.html, False, en, text fine
com.LuxTrustMobile, https://www.luxtrust.com/en/privacy-policy, True, en, text fine
sg.worktable.pingoauth, https://worktablelocalstorege.blob.core.windows.net/privacypolicy/pingo_auth_privacy_policy.html, True, en, text fine
vn.com.sacombank.msign, https://www.sacombank.com.vn/en/company/Pages/Sacombank-mSign-Policy-EN.aspx, True, en, text fine
org.juanjcsr.newcloudotp, https://gist.github.com/juanjcsr/ba688a3e1ba8d512ff67085065f52762, False, en, text fine
com.square_enix_software_token, https://square-enix-games.com/en_GB/documents/privacy, False, en, text fine
com.gemalto.idprove, http://www.gemalto.com/companyinfo/privacy-policy-idproveotp, False, en, text fine
me.jmh.authenticatorpro, https://jmh.me/authenticator-pro/privacy-policy, True, en, text fine
wibmo.com.wibmoAuthApp, https://s3.ap-south-1.amazonaws.com/in-mum-wibmo-acs/static/AuthApp/docs/privacy.html, True, en, text fine
com.u2fa.secur, https://github.com/shamith16/Secur-2fa/blob/master/PRIVACY.md, False, en, text fine
eu.sia.siaotp, https://www.sia.eu/en/privacy-policy, True, en, text fine
com.dxc.ipwr, https://www.dxc.technology/privacy, True, en, text fine
org.fedorahosted.freeotp, https://freeotp.github.io/privacy.html, False, en, text fine
com.sbi.SBISecure, https://www.onlinesbi.com/personal/privacy_statement.html, True, en, text fine
tm.asmanoky.otp, https://alashov.com/play/privacy/?app=otp, True, en, text fine
eu.sebbe.www.qrsa, https://github.com/sebastiannielsen/QRSA/blob/master/PRIVACYPOLICY.md, False, en, text fine
com.protectimus.android, https://www.protectimus.com/privacy-policy, True, en, text fine
com.vivokey.vivoauth, http://vivokey.com/privacy/authenticator/, True, en, text fine
org.shadowice.flocke.andotp, https://github.com/andOTP/andOTP/wiki/Privacy-policy, False, en, text fine
com.gstotpauthenticator, http://www.accountgst.com, True, en, text fine
com.eset.esa, https://help.eset.com/esa/27/en-US/privacy_policy.html, True, en, text fine
com.beemdevelopment.aegis, https://getaegis.app/aegis/privacy.html, False, en, text fine
org.kamrul.android.myauth, https://github.com/ponirq/totp.github.io, True, en, text fine
otl.snkl.HDFCSnorkelOTP, https://www.hdfcbank.com/aboutus/terms_conditions/privacy.htm, True, en, text fine
com.net2recharge.otp, http://net2recharge.com/, False, en, text fine
com.entrust.identityGuard.mobile, https://www.entrustdatacard.com/privacy-statement/, True, en, text fine
com.stove.otp.google.android, https://terms.onstove.com/privacy_policy_en/index.html, False, en, text fine
com.FAISATOKEN, http://www.mib.com.mv, False, en, text fine
com.BANKABC, https://www.bank-abc.com/En/Pages/LegalNotice.aspx, True, en, text fine
com.changingtec.motp.pro, https://www.changingtec.com/EN/policy.html, True, en, text fine
com.lenovo.otp, https://otp.lenovo.com/otp/policy.html, False, en, text fine
jp.konami.android.otp_token, https://legal.konami.com/games/privacy/, True, en, text fine
com.cibcorptoken, http://www.cibeg.com/English/pages/PrivacyPolicy.aspx, True, en, text fine
net.aftnet.OTPManager, https://www.aftnet.net/document/otp-manager-privacy-policy/, False, en, text fine
com.azure.authenticator, http://go.microsoft.com/fwlink/?linkid=282053, True, en, text fine
vietcombank.itcenter.vcbsmartoptv10, http://vietcombank.com.vn/upload/2017/05/10/noi%20dung%20thoa%20thuan%20su%20dung%20dich%20vu%20nhdt.pdf, False, en, text fine
jp.co.nttdata.onetimepassworda, https://dlsp.otp-auth.net/otpd/app/privacyPolicyA/privacyPolicyIndexA.html, False, en, text fine
com.hpe.icewall.smartotp, https://www.hpe.com/us/en/legal/privacy.html, True, en, text fine
com.canopus.otpmacgenerator.finductive, https://www.finductive.com/privacy-policy-2/, True, en, text fine
com.sbi.SBIFreedomPlus, https://www.onlinesbi.com/personal/privacy_statement.html, True, en, text fine
org.arcon.pam.otp, https://www.arconnet.com/privacy-policy, True, en, text fine
com.authenticator.authservice2, https://www.binaryboot.com/totp-privacy-policy, True, en, text fine
cy.nbg.nbgcyotp, https://www.nbg.com.cy/en/privacy-policy/, True, en, text fine
