,app_id,PP_link,svm_res,language,text,5
0,com.nof.makanoh.openkeypos, http://nofteknologi.blogspot.co.id/,False,id, text fine,
2,com.authy.authy, https://www.twilio.com/legal/privacy/authy,False,en, text fine,
4,no.buypass.mobile.bpcode.bp, https://www.buypass.no/produkter-og-tjenester/buypass-code/terms,False,no, text fine,
7,com.egypt.ais.masriacard.mcmotp, http://www.masriacard.com,False,en, text fine,
8,com.dreammirae.otp.android.mirae.multiid.market, http://www.dreammirae.com/private/private_ko.htm,False,ko, text fine,
9,token.security.m2m.com.generateotp, http://maubank.mu,False,en, text fine,
11,hr.asseco.android.jimba.otpretailng, https://www.otpbanka.hr/hr/zastita-osobnih-podataka,False,hr, text fine,
18,hr.asseco.android.mtoken.ht.test, http://www.t.ht.hr/en/corporate-social-responsibility/protecting-privacy/#section-nav,False,en, text fine,
19,com.dreammirae.otp.android.mirae, http://otp.nttgame.com/about/,False,en, text fine,
20,it.aruba.pec.mobile.otpfvg, https://www.aruba.it/documents/tc-files/it/9_informativaarubaspaapp.pdf,False,bn, text fine,
22,com.aircuve.aircuvemobile, http://www.aircuve.com/wp/wp-content/uploads/pdf/ACV%20Privacy%20policy%20_%20March.pdf,False,bn, text fine,
24,it.aruba.pec.mobile.otp, https://www.aruba.it/documents/tc-files/it/9_informativaarubaspaapp.pdf,False,bn, text fine,
29,com.atsolution.android.uotp2, http://www.u-otp.co.kr/privacy.html,False,ko, text fine,
31,com.mollatech.android.apps.authenticators, https://www.acledabank.com.kh/kh/eng/,False,en, text fine,
32,com.bncr.detectid_otp, https://www.bncr.fi.cr/transparencia/Paginas/P%C3%A1ginas%20internas/Legal-Pol%C3%ADticas-Privacidad.aspx,False,en, text fine,
33,it.previnet.authenticator, http://www.previnet.it/pdf/Informativa_APP_Previnet_OTP.pdf,False,bn, text fine,
39,ngn.com.vn.totp, http://ngn.com.vn,False,en, text fine,
40,com.halcom.ng.mobile.puppaltr, https://otpbank.al/en/politikat-e-privatesise/,False,en, text fine,
44,com.vietinbank.softotp, https://qldt.vnpay.vn/policy/privacy-policy-en.html,False,en, text fine,
47,cy.com.netinfo.crdbotp, https://simbanking.crdbbank.com/en/fetch/terms,False,en, text fine,
48,hr.asseco.android.otp, https://see.asseco.com/privacy-policy/,False,en, text fine,
50,com.aff.otpdirekt, https://www.otpbank.hu/portal/hu/JogiEtikaiNyilatkozat,False,hu, text fine,
51,com.zenithbank.zenithetoken, https://www.zenithbank.com/customer-service/privacy-policy/,False,en, text fine,
54,vn.tpb.token.baseotp, https://ebank.tpb.vn/retail/v8/download/Dieu%20khoan%20dieu%20kien%20eBank%20-%20KHCN%20-%20English.pdf,False,N/A, text fine,
58,com.sgn.sgotp.lotte, http://www.sgni.co.kr,False,en, text fine,
59,oracle.idm.mobile.authenticator, http://www.oracle.com/us/legal/privacy/index.html,False,en, text fine,
61,com.dreammirae.anyauth.android, http://www.dreammirae.com/private/private_ko.htm,False,ko, text fine,
67,com.kiwoom.unitycert, https://www.kiwoom.com/h/customer/financeguide/VPersonalDataPolicyView,False,ko, text fine,
68,com.techcombank.stk.corp, https://www.techcombank.com.vn,False,vi, text fine,
70,com.bitrixsoft.otp, https://www.1c-bitrix.ru/download/files/manuals/ru/privacy.htm,False,ru, text fine,
71,org.juanjcsr.newcloudotp, https://gist.github.com/juanjcsr/ba688a3e1ba8d512ff67085065f52762,False,en, text fine,
72,com.square_enix_software_token, https://square-enix-games.com/en_GB/documents/privacy,False,en, text fine,
74,com.gemalto.idprove, http://www.gemalto.com/companyinfo/privacy-policy-idproveotp,False,en, text fine,
79,vn.com.bidv.softotp, http://bidv.com.vn/,False,vi, text fine,
80,it.company.sielte, http://www.sielteid.it/documents/InformativaPrivacy.pdf,False,bn, text fine,
81,com.u2fa.secur, https://github.com/shamith16/Secur-2fa/blob/master/PRIVACY.md,False,en, text fine,
84,nh.smart.signone, https://m.nonghyup.com/mweb/pm/ec/iframe_pmec1020r.html,False,ko, text fine,
87,com.vn.vib.smeotp, https://ib.vib.com.vn/vi-vn/securitypolicy.aspx,False,vi, text fine,
88,org.fedorahosted.freeotp, https://freeotp.github.io/privacy.html,False,en, text fine,
96,eu.sebbe.www.qrsa, https://github.com/sebastiannielsen/QRSA/blob/master/PRIVACYPOLICY.md,False,en, text fine,
97,com.ca.sec.aa.authenticator, https://www.broadcom.com/company/legal/privacy-policy,False,N/A, text fine,
99,com.ftsafe.otp.activity, http://www.ftsafe.com.cn/,False,zh-cn, text fine,
107,com.kmcert.myotp, http://www.myotp.co.kr/mobile/rules/otpMobileRules_02.jsp,False,ko, text fine,
108,com.mobilians.motp, http://www.motp.co.kr,False,ko, text fine,
109,com.vtc.main.otpapp, https://vtcpay.vn/huong-dan-472/su-dung-vi-dien-tu-vtc-pay-200/dieu-khoan-su-dung-vi-dien-tu-cong-thanh-toan-dien-tu-vtc-pay-2-44007,False,vi, text fine,
110,org.shadowice.flocke.andotp, https://github.com/andOTP/andOTP/wiki/Privacy-policy,False,en, text fine,
113,com.jeptoken, https://www.coopjep.fin.ec/inicio,False,es, text fine,
121,de.otp.main, https://www.telesec.de/assets/downloads/OneTimePass/DataSecurity.pdf,False,bn, text fine,
122,org.liberty.android.freeotpplus, https://anymemo.org/privacy-policy-view,False,N/A, text fine,
123,vn.funtap.smartotp, https://funtapcorp.vn/dieu-khoan,False,vi, text fine,
124,com.beemdevelopment.aegis, https://getaegis.app/aegis/privacy.html,False,en, text fine,
125,ua.com.cs.ifobs.mobile.android.otp, https://www.otpbank.com.ua/pdf/otpsmart/otp-smart-pp.pdf,False,bn, text fine,
126,com.khla.otpapp.callhttpclient, http://pgbank.com.vn,False,vi, text fine,
129,com.mds.canarabankapp, http://www.canarabank.com/Upload/English/Content/terms%20n%20conditions%2022082016.pdf,False,bn, text fine,
131,it.uiv.uivotp, https://www.unioneitalianavini.it/privacy-cookies-policy/,False,it, text fine,
132,com.pvcombank.smartotp, https://pvcombank.com.vn/,False,vi, text fine,
134,com.net2recharge.otp, http://net2recharge.com/,False,en, text fine,
136,com.stove.otp.google.android, https://terms.onstove.com/privacy_policy_en/index.html,False,en, text fine,
137,com.FAISATOKEN, http://www.mib.com.mv,False,en, text fine,
144,com.aircuve.motpkey_miraeasset, http://www.aircuve.com/wp/wp-content/uploads/pdf/ACV%20Privacy%20policy%20_%20March.pdf,False,bn, text fine,
146,com.andxor.mobile.jsotp.piteco, http://www.pitecolab.it,False,it, text fine,
148,vn.com.eximbank.softotp, https://eximbank.com.vn/vn/download/EXIMBANK-IB-QUIDINHSUDUNGDICHVU.pdf,False,bn, text fine,
149,com.lenovo.otp, https://otp.lenovo.com/otp/policy.html,False,en, text fine,
151,com.kienlongbank.etoken, https://kienlongbank.com/,False,vi, text fine,
154,it.netknights.piauthenticator, https://netknights.it/datenschutzhinweis/,False,de, text fine,
158,com.viafirma.otp, https://www.viafirma.com/es/politica-privacidad/,False,es, text fine,
160,net.aftnet.OTPManager, https://www.aftnet.net/document/otp-manager-privacy-policy/,False,en, text fine,
161,com.ocb.iotp, https://www.ocb.com.vn/Uploads/other/DIEU-KHOAN-DANG-KY-VA-SU-DUNG-OCB-iOTP.pdf,False,bn, text fine,
164,vietcombank.itcenter.vcbsmartoptv10, http://vietcombank.com.vn/upload/2017/05/10/noi%20dung%20thoa%20thuan%20su%20dung%20dich%20vu%20nhdt.pdf,False,en, text fine,
165,jp.co.nttdata.onetimepassworda, https://dlsp.otp-auth.net/otpd/app/privacyPolicyA/privacyPolicyIndexA.html,False,en, text fine,
167,com.scrignosa, https://www.popso.it/privacy-app,False,it, text fine,
170,br.com.voegol.tokenagenciasgol, https://www.voegol.com.br/pt/politica-de-privacidade/?m=1,False,pt, text fine,
174,kr.or.kftc.fsc, https://ssc.kftc.or.kr/html/privacy.html,False,ko, text fine,
