,app_id,PP_link,svm_res,language,text,5
1,com.forgerock.authenticator, https://www.forgerock.com/privacy-policy/,True,en, text fine,
3,vn.unlimit.magicauth, https://vpngate-connector.firebaseapp.com/magicauth/privacy_policy.html,True,en, text fine,
5,com.cbcapp.otp.activity, http://www.chinabank.ph/about_china_bank.aspx?title=Privacy+Policy,True,en, text fine,
13,com.inwebo.authenticator, http://www.myinwebo.com/terms,True,en, text fine,
21,com.feelanet.artstrongid.sec, https://mfa.secsso.net/content/appprivate.html,True,ko, text fine,
25,com.bankofamerica.authenticator, https://www.bankofamerica.com/privacy,True,en, text fine,
27,com.portwise.mid.clients.android, https://www.nexusgroup.com/nexus-privacy-policy/,True,en, text fine,
42,org.arcon.arcos.otp1, https://www.arconnet.com/privacy-policy,True,en, text fine,
43,ru.yandex.key, https://yandex.ru/legal/confidential/,True,ru, text fine,
45,otl.snkl.SnorkelOTP, https://www.southindianbank.com/content/mobile-banking-privacy-policy/3735,True,en, text fine,
52,com.CIBEgyptSecureToken, http://www.cibeg.com/English/pages/PrivacyPolicy.aspx,True,en, text fine,
57,com.protectimus.totpburner.nfc, https://www.protectimus.com/privacy-policy,True,en, text fine,
63,com.google.android.apps.authenticator2, http://www.google.com/policies/privacy,True,N/A, text fine,
64,com.LuxTrustMobile, https://www.luxtrust.com/en/privacy-policy,True,en, text fine,
65,sg.worktable.pingoauth, https://worktablelocalstorege.blob.core.windows.net/privacypolicy/pingo_auth_privacy_policy.html,True,en, text fine,
66,vn.com.sacombank.msign, https://www.sacombank.com.vn/en/company/Pages/Sacombank-mSign-Policy-EN.aspx,True,en, text fine,
77,me.jmh.authenticatorpro, https://jmh.me/authenticator-pro/privacy-policy,True,en, text fine,
78,wibmo.com.wibmoAuthApp, https://s3.ap-south-1.amazonaws.com/in-mum-wibmo-acs/static/AuthApp/docs/privacy.html,True,en, text fine,
82,eu.sia.siaotp, https://www.sia.eu/en/privacy-policy,True,en, text fine,
86,com.dxc.ipwr, https://www.dxc.technology/privacy,True,en, text fine,
90,com.sbi.SBISecure, https://www.onlinesbi.com/personal/privacy_statement.html,True,en, text fine,
93,tm.asmanoky.otp, https://alashov.com/play/privacy/?app=otp,True,en, text fine,
104,com.protectimus.android, https://www.protectimus.com/privacy-policy,True,en, text fine,
106,com.vivokey.vivoauth, http://vivokey.com/privacy/authenticator/,True,en, text fine,
117,com.gstotpauthenticator, http://www.accountgst.com,True,en, text fine,
119,com.eset.esa, https://help.eset.com/esa/27/en-US/privacy_policy.html,True,en, text fine,
127,org.kamrul.android.myauth, https://github.com/ponirq/totp.github.io,True,en, text fine,
128,otl.snkl.HDFCSnorkelOTP, https://www.hdfcbank.com/aboutus/terms_conditions/privacy.htm,True,en, text fine,
130,com.netfiles.netfilesotp, https://www.netfiles.de/ueber-uns/datenschutz/,True,de, text fine,
135,com.entrust.identityGuard.mobile, https://www.entrustdatacard.com/privacy-statement/,True,en, text fine,
138,com.BANKABC, https://www.bank-abc.com/En/Pages/LegalNotice.aspx,True,en, text fine,
143,com.changingtec.motp.pro, https://www.changingtec.com/EN/policy.html,True,en, text fine,
155,jp.konami.android.otp_token, https://legal.konami.com/games/privacy/,True,en, text fine,
156,com.cibcorptoken, http://www.cibeg.com/English/pages/PrivacyPolicy.aspx,True,en, text fine,
162,com.azure.authenticator, http://go.microsoft.com/fwlink/?linkid=282053,True,en, text fine,
166,com.hpe.icewall.smartotp, https://www.hpe.com/us/en/legal/privacy.html,True,en, text fine,
168,com.canopus.otpmacgenerator.finductive, https://www.finductive.com/privacy-policy-2/,True,en, text fine,
173,com.sbi.SBIFreedomPlus, https://www.onlinesbi.com/personal/privacy_statement.html,True,en, text fine,
176,org.arcon.pam.otp, https://www.arconnet.com/privacy-policy,True,en, text fine,
179,com.authenticator.authservice2, https://www.binaryboot.com/totp-privacy-policy,True,en, text fine,
180,cy.nbg.nbgcyotp, https://www.nbg.com.cy/en/privacy-policy/,True,en, text fine,
