app_id,root_detection (5),,root_detection(10),,,
com.nof.makanoh.openkeypos,n,,n,advert,,
com.forgerock.authenticator,n,,n,scan qr code,,
com.authy.authy,n,,n,not resp,m,
vn.unlimit.magicauth,n,,n,not resp,m,
no.buypass.mobile.bpcode.bp,n,,n,,m,
com.cbcapp.otp.activity,y,,y,su check,m,
com.mastersam.android.mastersamotp,n,,n,cam,,
com.egypt.ais.masriacard.mcmotp,y,,n,run again,m,
com.dreammirae.otp.android.mirae.multiid.market,n,,n,,,
token.security.m2m.com.generateotp,n,,n,,,
com.deepnet.andmob5,n,,n,,,
hr.asseco.android.jimba.otpretailng,n,,n,advert,c,
com.mts.opt2,n,,n,,,
com.inwebo.authenticator,n,,n,,,
net.secuwiz.prudentialotp,n,,n,,,
netinfo.eu.symantec,y,,y,can go,,
br.com.powersoftware.otpsafe,n,,n,,m,
com.canopus.otpmacgenerator,n,,n,,,
hr.asseco.android.mtoken.ht.test,n,,n,,,
com.dreammirae.otp.android.mirae,n,n,n,,m,
it.aruba.pec.mobile.otpfvg,n,n,n,not resp,m,
com.feelanet.artstrongid.sec,n,,n,,,
com.aircuve.aircuvemobile,y,,y,,,
com.nhn.hangameotp,n,,n,char,,
it.aruba.pec.mobile.otp,n,,n,,,
com.bankofamerica.authenticator,y,,y,capture using other phone,,
com.novoload.otp,n,,n,miss somethung,m,
com.portwise.mid.clients.android,y,n,n,not resp,m,
io.faceotp.faceotp,n,,n,google,,
com.atsolution.android.uotp2,n,c,n,char,,
com.namirial.android.virtualotp,y,,y,,,
com.mollatech.android.apps.authenticators,n,,n,,,
com.bncr.detectid_otp,n,,n,,,
it.previnet.authenticator,n,,n,asked lockscreen,,
com.rcdevs.auth,y,,n,not resp,m,
com.sgn.sgotp,n,,n,,,
kr.co.neople.neopleotp,n,c,n,char,,
eu.netinfo.netteller.cqur.motp,y,,y,can go,,
club.nagavip.otp,n,,n,char,,
ngn.com.vn.totp,n,,n,,,
com.halcom.ng.mobile.puppaltr,n,,n,char,m,
com.yubico.yubiclip,y,n,n,not resp,m,
org.arcon.arcos.otp1,y,n,n,,,
ru.yandex.key,n,,n,,,
com.vietinbank.softotp,y,,y,after few process,,
otl.snkl.SnorkelOTP,y,,y,grant su,,
de.sbeh.rdp_otp,n,,n,install other app,,
