app_id,PackageManager.getPackageInfo,RootBeer.isRooted,RootTools,Runtime.exec,SafetyNetApi,sum
com.aff.otpdirekt,1,1,0,1,1,4
vn.com.eximbank.softotp,1,1,0,1,1,4
netinfo.eu.symantec,1,1,0,1,1,4
ar.gob.afip.mobile.android.internal.seginfo,1,0,1,1,0,3
com.lpb.softotp,1,1,0,1,0,3
com.ncb.bank.otp,1,1,0,1,0,3
com.entrust.identityGuard.mobile,1,1,0,1,0,3
com.pacifico.pacificid,1,0,0,1,1,3
com.trumotp.club,1,0,1,1,0,3
com.vietinbank.softotp,1,1,0,1,0,3
com.vpbank.vpbanksmartotp,1,1,0,1,0,3
com.azure.authenticator,1,0,0,1,1,3
hr.asseco.android.jimba.otpretailng,1,0,0,1,1,3
com.kienlongbank.etoken,1,1,0,1,0,3
vn.tpb.token.baseotp,1,1,0,1,0,3
vn.mk.token.baseotp,1,1,0,1,0,3
club.nagavip.otp,1,0,1,1,0,3
br.com.voegol.tokenagenciasgol,1,0,0,1,1,3
otl.snkl.SnorkelOTP,1,0,0,1,0,2
com.qrail.token,1,0,0,1,0,2
com.pvcombank.smartotp,1,0,0,1,0,2
com.protectimus.totpburner.nfc,1,0,0,0,1,2
com.pozitron.qib,1,0,0,1,0,2
com.ocb.iotp,1,0,0,1,0,2
com.scrignosa,1,0,0,1,0,2
com.namirial.android.virtualotp,1,0,0,1,0,2
com.mobilians.motp,1,0,0,1,0,2
com.mds.canarabankapp,1,0,0,1,0,2
com.mdmobiasbancadigipass,1,0,0,1,0,2
vn.unlimit.magicauth,1,0,0,1,0,2
com.kiwoom.unitycert,1,0,0,1,0,2
com.sbi.SBISecure,1,0,0,1,0,2
com.square_enix_software_token,1,0,0,1,0,2
otl.snkl.HDFCSnorkelOTP,1,0,0,1,0,2
teakwang.tsis.motp,1,0,0,1,0,2
oracle.idm.mobile.authenticator,1,0,0,1,0,2
no.SpareBank1.MobileOTP,1,0,0,1,0,2
nh.smart.signone,1,0,0,1,0,2
sk.otp.viamo,1,0,0,1,0,2
kr.or.kftc.fsc,1,0,0,1,0,2
kr.co.neople.neopleotp,1,0,0,0,1,2
ua.com.cs.ifobs.mobile.android.otp,1,0,0,1,0,2
com.stove.otp.google.android,1,0,0,0,1,2
hr.asseco.android.intesa.isbd.alex,1,0,0,1,0,2
com.jeptoken,1,0,0,1,0,2
cy.nbg.nbgcyotp,1,0,0,1,0,2
vn.com.sacombank.msign,1,0,0,1,0,2
vn.funtap.smartotp,1,0,0,1,0,2
com.techcombank.stk.corp,1,0,0,1,0,2
eu.netinfo.netteller.cqur.motp,1,0,0,1,0,2
com.sbi.SBIFreedomPlus,1,0,0,1,0,2
com.bncr.detectid_otp,1,0,0,1,0,2
com.dreammirae.anyauth.android,1,0,0,1,0,2
com.changingtec.motp.pro,1,0,0,1,0,2
com.ca.sec.aa.authenticator,1,0,0,1,0,2
com.beemdevelopment.aegis,1,0,0,1,0,2
com.bankofamerica.authenticator,1,0,0,1,0,2
com.authenticator.authservice2,1,0,0,1,0,2
com.arcot.otp1,1,0,0,1,0,2
com.aircuve.airotp,1,0,0,1,0,2
com.aircuve.aircuvemobile,1,0,0,1,0,2
com.LuxTrustMobile,1,0,0,1,0,2
com.GlowOTP,1,0,0,1,0,2
com.FAISATOKEN,1,0,0,1,0,2
com.CIBEgyptSecureToken,1,0,0,1,0,2
com.BankMisrSoftToken,1,0,0,1,0,2
com.BANKABC,1,0,0,1,0,2
com.ADIBSDIGIPASS,1,0,0,1,0,2
com.cibcorptoken,1,0,0,1,0,2
wibmo.com.wibmoAuthApp,1,0,0,1,0,2
com.goldtime.authy,1,0,0,1,0,2
com.halcom.ng.mobile.puppaltr,1,0,0,1,0,2
com.ftsafe.otp.activity,1,0,0,1,0,2
com.net2recharge.otp,1,0,0,0,0,1
me.jmh.authenticatorpro,1,0,0,0,0,1
com.aircuve.motpkey_miraeasset,1,0,0,0,0,1
no.buypass.mobile.bpcode.bp,1,0,0,0,0,1
com.andxor.mobile.jsotp.piteco,1,0,0,0,0,1
com.gemalto.idprove,1,0,0,0,0,1
com.atsolution.android.bcotp,1,0,0,0,0,1
net.secuwiz.prudentialotp,1,0,0,0,0,1
net.marinits.android.droidotp,1,0,0,0,0,1
net.aftnet.OTPManager,1,0,0,0,0,1
kr.kjun.NaverSetup,1,0,0,0,0,1
com.atsolution.android.uotp2,1,0,0,0,0,1
org.fedorahosted.freeotp,1,0,0,0,0,1
jp.co.nttdata.onetimepassworda,1,0,0,0,0,1
it.uiv.uivotp,1,0,0,0,0,1
it.previnet.authenticator,1,0,0,0,0,1
it.netknights.piauthenticator,1,0,0,0,0,1
it.company.sielte,1,0,0,0,0,1
it.aruba.pec.mobile.otpfvg,1,0,0,0,0,1
it.aruba.pec.mobile.otp,1,0,0,0,0,1
io.faceotp.faceotp,1,0,0,0,0,1
org.cry.otp,1,0,0,0,0,1
org.kamrul.android.myauth,1,0,0,0,0,1
org.juanjcsr.newcloudotp,1,0,0,0,0,1
two.factor.secure.otp.authentication,1,0,0,0,0,1
