app_id,PackageManager.getPackageInfo,RootBeer.isRooted,RootTools,Runtime.exec,SafetyNetApi,sum,rooted,,
com.cbcapp.otp.activity,0,0,0,1,0,1,y,,
netinfo.eu.symantec,1,1,0,1,1,4,y,,4 =1
com.aircuve.aircuvemobile,1,0,0,1,0,2,y,,3=2
com.bankofamerica.authenticator,1,0,0,1,0,2,y,,2=19
com.namirial.android.virtualotp,1,0,0,1,0,2,y,,1=2
eu.netinfo.netteller.cqur.motp,1,0,0,1,0,2,y,,
com.vietinbank.softotp,1,1,0,1,0,3,y,,
otl.snkl.SnorkelOTP,1,0,0,1,0,2,y,,
com.GlowOTP,1,0,0,1,0,2,y,,
com.BankMisrSoftToken,1,0,0,1,0,2,y,,
vn.com.sacombank.msign,1,0,0,1,0,2,y,,
com.techcombank.stk.corp,1,0,0,1,0,2,y,,
com.gemalto.idprove,1,0,0,0,0,1,y,,
com.ftsafe.otp.activity,1,0,0,1,0,2,y,,
com.jeptoken,1,0,0,1,0,2,y,,
ar.gob.afip.mobile.android.internal.seginfo,1,0,1,1,0,3,y,,
otl.snkl.HDFCSnorkelOTP,1,0,0,1,0,2,y,,
com.mds.canarabankapp,1,0,0,1,0,2,y,,
com.BANKABC,1,0,0,1,0,2,y,,
com.changingtec.motp.pro,1,0,0,1,0,2,y,,
com.aircuve.airotp,1,0,0,1,0,2,y,,
com.cibcorptoken,1,0,0,1,0,2,y,,
com.sbi.SBIFreedomPlus,1,0,0,1,0,2,y,,
cy.nbg.nbgcyotp,1,0,0,1,0,2,y,,
vn.com.bidv.softotp,1,0,0,0,0,1,n,,
com.nof.makanoh.openkeypos,1,0,0,0,0,1,n,,
com.forgerock.authenticator,1,0,0,0,0,1,n,,
com.authy.authy,1,0,0,0,0,1,n,,
vn.unlimit.magicauth,1,0,0,1,0,2,n,,
no.buypass.mobile.bpcode.bp,1,0,0,0,0,1,n,,
com.mastersam.android.mastersamotp,0,0,0,0,0,0,n,,
com.egypt.ais.masriacard.mcmotp,1,0,0,0,0,1,n,,
com.dreammirae.otp.android.mirae.multiid.market,1,0,0,0,0,1,n,,
token.security.m2m.com.generateotp,1,0,0,0,0,1,n,,
com.deepnet.andmob5,1,0,0,0,0,1,n,,
hr.asseco.android.jimba.otpretailng,1,0,0,1,1,3,n,,
com.mts.opt2,1,0,0,0,0,1,n,,
com.inwebo.authenticator,1,0,0,0,0,1,n,,
net.secuwiz.prudentialotp,1,0,0,0,0,1,n,,
br.com.powersoftware.otpsafe,1,0,0,0,0,1,n,,
com.canopus.otpmacgenerator,1,0,0,0,0,1,n,,
hr.asseco.android.mtoken.ht.test,1,0,0,0,0,1,n,,
com.dreammirae.otp.android.mirae,1,0,0,0,0,1,n,,
it.aruba.pec.mobile.otpfvg,1,0,0,0,0,1,n,,
com.feelanet.artstrongid.sec,1,0,0,0,0,1,n,,
com.nhn.hangameotp,1,0,0,0,0,1,n,,
it.aruba.pec.mobile.otp,1,0,0,0,0,1,n,,
com.novoload.otp,1,0,0,0,0,1,n,,
com.portwise.mid.clients.android,1,0,0,0,0,1,n,,
io.faceotp.faceotp,1,0,0,0,0,1,n,,
com.atsolution.android.uotp2,1,0,0,0,0,1,n,,
com.mollatech.android.apps.authenticators,1,0,0,0,0,1,n,,
com.bncr.detectid_otp,1,0,0,1,0,2,n,,
it.previnet.authenticator,1,0,0,0,0,1,n,,
com.rcdevs.auth,1,0,0,0,0,1,n,,
com.sgn.sgotp,1,0,0,0,0,1,n,,
kr.co.neople.neopleotp,1,0,0,0,1,2,n,,
club.nagavip.otp,1,0,1,1,0,3,n,,
ngn.com.vn.totp,0,0,0,0,0,0,n,,
com.halcom.ng.mobile.puppaltr,1,0,0,1,0,2,n,,
com.yubico.yubiclip,0,0,0,0,0,0,n,,
org.arcon.arcos.otp1,0,0,0,0,0,0,n,,
