,appId,fraudulent,bugs,authentication,security,usability,ads_tracker,cust_support,total_negative,total,pct_negative,pct_fraud,pct_bugs,pct_auth,pct_sec,pct_usa,pct_ads,pct_cust
0,at.tugraz.iaik.signapp,0,0,0,0,0,0,0,1,2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,br.com.voegol.tokenagenciasgol,0,0,0,0,0,0,0,2,2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,br.gov.caixa.codigocaixa,0,0,0,0,0,0,0,20,23,86.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,com.BANKABC,0,2,3,0,8,0,1,23,37,62.16,0.0,8.7,13.04,0.0,34.78,0.0,4.35
4,com.BankMisrSoftToken,0,13,8,4,11,1,7,156,249,62.65,0.0,8.33,5.13,2.56,7.05,0.64,4.49
5,com.CIBEgyptSecureToken,0,28,18,8,32,0,26,202,292,69.18,0.0,13.86,8.91,3.96,15.84,0.0,12.87
6,com.FAISATOKEN,0,1,0,0,0,0,1,6,12,50.0,0.0,16.67,0.0,0.0,0.0,0.0,16.67
7,com.LuxTrustMobile,0,29,7,9,7,0,6,106,232,45.69,0.0,27.36,6.6,8.49,6.6,0.0,5.66
8,com.aff.otpdirekt,0,48,25,10,16,1,3,351,1108,31.68,0.0,13.68,7.12,2.85,4.56,0.28,0.85
9,com.aircuve.aircuvemobile,0,0,0,0,0,0,0,1,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,com.arcot.otp1,1,26,33,7,12,0,6,184,278,66.19,0.54,14.13,17.93,3.8,6.52,0.0,3.26
11,com.atsolution.android.bcotp,0,0,0,0,0,0,0,2,2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,com.atsolution.android.uotp2,0,0,1,0,0,0,0,4,5,80.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
13,com.authenticator.authservice2,0,11,12,4,4,1,1,80,336,23.81,0.0,13.75,15.0,5.0,5.0,1.25,1.25
14,com.authy.authy,9,141,573,110,78,12,138,1898,5493,34.55,0.47,7.43,30.19,5.8,4.11,0.63,7.27
15,com.azure.authenticator,13,792,1611,280,293,28,92,7350,87641,8.39,0.18,10.78,21.92,3.81,3.99,0.38,1.25
16,com.bankofamerica.authenticator,0,53,13,3,5,1,2,118,202,58.42,0.0,44.92,11.02,2.54,4.24,0.85,1.69
17,com.beemdevelopment.aegis,0,3,4,3,0,0,1,28,414,6.76,0.0,10.71,14.29,10.71,0.0,0.0,3.57
18,com.bitrixsoft.otp,0,1,1,0,0,0,0,1,8,12.5,0.0,100.0,100.0,0.0,0.0,0.0,0.0
19,com.bncr.detectid_otp,1,14,2,0,1,0,1,109,117,93.16,0.92,12.84,1.83,0.0,0.92,0.0,0.92
20,com.ca.sec.aa.authenticator,0,5,4,0,0,0,0,18,21,85.71,0.0,27.78,22.22,0.0,0.0,0.0,0.0
21,com.canopus.otpmacgenerator,0,0,1,0,0,0,0,2,2,100.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
22,com.cbcapp.otp.activity,0,0,0,0,1,0,0,4,6,66.67,0.0,0.0,0.0,0.0,25.0,0.0,0.0
23,com.changingtec.motp.pro,0,0,0,1,0,0,2,5,6,83.33,0.0,0.0,0.0,20.0,0.0,0.0,40.0
24,com.cibcorptoken,0,0,0,0,1,0,1,4,7,57.14,0.0,0.0,0.0,0.0,25.0,0.0,25.0
25,com.deepnet.andmob5,0,0,0,0,0,0,0,1,4,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,com.dreammirae.otp.android.mirae,0,0,0,0,0,0,0,3,4,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,com.dreammirae.otp.android.mirae.multiid.market,5,0,0,0,0,0,0,11,17,64.71,45.45,0.0,0.0,0.0,0.0,0.0,0.0
28,com.entrust.identityGuard.mobile,1,120,31,100,20,1,20,510,764,66.75,0.2,23.53,6.08,19.61,3.92,0.2,3.92
29,com.eset.esa,0,1,5,3,2,0,3,38,92,41.3,0.0,2.63,13.16,7.89,5.26,0.0,7.89
30,com.feelanet.artstrongid.sec,0,0,0,0,0,0,0,3,5,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,com.forgerock.authenticator,0,10,6,0,0,0,2,38,77,49.35,0.0,26.32,15.79,0.0,0.0,0.0,5.26
32,com.ftsafe.otp.activity,0,2,0,0,3,0,0,7,20,35.0,0.0,28.57,0.0,0.0,42.86,0.0,0.0
33,com.gemalto.idprove,0,3,0,2,1,0,0,4,5,80.0,0.0,75.0,0.0,50.0,25.0,0.0,0.0
34,com.google.android.apps.authenticator2,32,1036,3951,656,456,40,310,12469,33574,37.14,0.26,8.31,31.69,5.26,3.66,0.32,2.49
35,com.halcom.ng.mobile.puppaltr,0,0,0,0,0,0,0,17,37,45.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,com.hidglobal.ia.token.generic,0,32,2,3,0,0,0,72,118,61.02,0.0,44.44,2.78,4.17,0.0,0.0,0.0
37,com.inwebo.authenticator,0,7,2,1,0,1,2,19,26,73.08,0.0,36.84,10.53,5.26,0.0,5.26,10.53
38,com.jeptoken,0,0,0,0,0,0,0,3,4,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,com.khla.otpapp.callhttpclient,0,0,0,0,0,0,0,1,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,com.kiwoom.unitycert,0,0,0,0,0,0,0,2,2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,com.kmcert.myotp,0,2,0,0,0,0,0,5,6,83.33,0.0,40.0,0.0,0.0,0.0,0.0,0.0
42,com.lenovo.otp,1,0,2,1,1,0,0,9,26,34.62,11.11,0.0,22.22,11.11,11.11,0.0,0.0
43,com.mdmobiasbancadigipass,0,0,0,0,0,0,0,2,5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
